index,celebrity_age_during_season,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,fame_1,fame_1.1,fame_1.2,fame_1.3,fame_1.4
18,25,8,66.5,1,0,0,0,0,0,0,427,782.4753454857504,1433.8821224661442,2627.5817544790098,4815.030307091369
19,30,9,77.66666667,1,0,0,0,0,0,0,158,262.1336626162108,434.8990954214516,721.529700957608,1197.071032901246
20,32,10,89.55553333,1,0,0,0,0,0,0,424,776.4302409499065,1421.801695899833,2603.608097477578,4767.735996376512
21,37,11,85.88886667,0,0,0,0,0,1,0,438,804.6768766838691,1478.321634405721,2715.916062803169,4989.577293954343
22,31,2,13.33333333,0,0,1,0,0,0,0,228,392.39939733632775,675.338978201373,1162.2921405436412,2000.362874903836
23,25,5,40.66666667,0,0,0,1,0,0,0,897,1770.4011676284667,3494.225523233259,6896.522794079545,13611.607588868164
24,35,6,35.0,0,0,0,1,0,0,0,544,1021.312834714325,1917.4262984415604,3599.801632752106,6758.315459476661
25,62,7,47.66666667,0,0,0,0,0,0,1,431,790.5420892887222,1450.0157655150283,2659.625273252521,4878.296334668524
26,37,1,4.0,0,0,0,0,0,0,1,999,1993.0676361947799,3976.294897344386,7932.957629493033,15826.747858505503
27,59,6,44.5,1,0,0,0,0,0,0,359,646.5526460728714,1164.4298722669391,2097.1175907534403,3776.8716641437327
28,42,8,72.83333333,1,0,0,0,0,0,0,145,238.5090169811638,392.32104262980016,645.3248704735096,1061.4882792422998
29,44,4,26.0,0,0,0,0,0,1,0,236,407.5709327080969,703.8731575785926,1215.5857599258486,2099.3111099985517
30,29,9,87.4444,0,0,0,0,0,1,0,277,486.1023783738601,853.0524269340186,1497.006547329314,2627.0701916896
31,24,11,89.61106667,0,0,0,0,0,1,0,218,373.5099219707152,639.9525771127045,1096.4616382675429,1878.6206465742755
32,28,2,20.0,0,0,1,0,0,0,0,295,520.959806515326,919.9970169643578,1624.6829422116236,2869.133936350227
33,41,1,13.33333333,0,0,1,0,0,0,0,330,589.3392062915007,1052.486969916047,1879.6116226741506,3356.754005585037
34,39,5,44.33333333,0,0,1,0,0,0,0,1087,2187.018710207438,4400.230762463108,8853.161919721395,17812.35580766022
35,45,7,50.66666667,0,0,0,1,0,0,0,2199,4747.311750753082,10248.735270049228,22125.48493763632,47765.609202160544
36,30,10,89.22216667,0,0,0,1,0,0,0,452,833.0139575722277,1535.2041006861598,2829.3062911364837,5214.273519388496
37,50,3,25.33333333,0,0,0,0,0,0,1,93,146.32928259906882,230.23934350492604,362.26621463609035,570.0016698664444
38,38,8,64.66666667,1,0,0,0,0,0,0,94,148.06098659843977,233.21335906918443,367.3382982097834,578.6007537056634
39,56,7,57.0,1,0,0,0,0,0,0,416,760.3309403180344,1389.671006742562,2539.92755598385,4642.272853319436
40,23,6,54.0,1,0,0,0,0,0,0,801,1563.132409454076,3050.415642304246,5952.813424209036,11616.773521616013
41,35,9,75.83333333,1,0,0,0,0,0,0,279,489.96451004573066,860.448821162554,1511.0730648040765,2653.663705519817
42,30,4,27.66666667,0,0,0,0,0,1,0,1603,3352.948435965044,7013.264637704566,14669.441483468794,30683.64371707882
43,29,1,5.333333333,0,0,1,0,0,0,0,461,851.2772317805615,1571.958623314479,2902.760488782499,5360.203716730482
44,22,2,14.0,0,0,1,0,0,0,0,49,72.31288491813308,106.7174147996562,157.49069663608591,232.42054329636488
45,32,12,88.8333,0,0,0,0,0,1,0,30,42.15347479450939,59.23051457504459,83.22573344016544,116.94179522748564
46,32,11,90.77773333,0,0,0,1,0,0,0,1039,2081.0240644392275,4168.105059456358,8348.341609085253,16720.98150785918
47,65,3,17.33333333,0,0,0,1,0,0,0,333,595.2352698945144,1063.9790586378228,1901.8554418330207,3399.553865525008
48,47,10,80.83333333,0,0,0,1,0,0,0,558,1050.2619189032223,1976.7922908571277,3720.6983237790387,7003.060503928621
49,49,5,34.0,0,0,0,0,0,0,1,1405,2900.3069057518974,5987.032133489062,12358.883019015548,25512.13791276199
50,34,10,82.5,1,0,0,0,0,0,0,173,289.6347811475164,484.903505493466,811.8203508165523,1359.1410961841148
51,49,3,18.33333333,1,0,0,0,0,0,0,662,1267.487801721556,2426.7754192038374,4646.387071538639,8896.13132213287
52,62,5,38.0,1,0,0,0,0,0,0,634,1208.6433967144847,2304.130694671175,4392.543137667941,8373.84583300611
53,42,6,44.66666667,1,0,0,0,0,0,0,417,762.3416722566456,1393.680636112849,2547.867689990347,4657.903394426656
54,34,7,56.5,1,0,0,0,0,0,0,780,1518.1128731073898,2954.7008916594496,5750.730076679607,11192.637639965571
55,35,9,69.66666667,1,0,0,0,0,0,0,223,382.94407054404513,657.6061038782173,1129.266180420335,1939.2187796317878
56,33,11,87.16666667,0,0,0,0,0,1,0,650,1242.2376628991433,2374.0837094232666,4537.194151878288,8671.189937459903
57,36,12,94.0,0,0,0,0,0,1,0,643,1227.5298740220674,2343.4363788750084,4473.776303171336,8540.737265684
58,34,2,10.0,0,0,0,0,0,1,0,1026,2052.4004294359647,4105.6018740242935,8212.806090975206,16428.817493169387
59,53,1,11.0,1,0,0,0,0,0,0,729,1409.2897107552558,2724.4135649391355,5266.787386708875,10181.658810458668
60,43,4,24.66666667,0,0,0,0,0,0,1,1307,2678.570899937734,5489.473654164675,11250.148726870968,23056.098699133952
61,21,8,67.33333333,0,0,0,1,0,0,0,1804,3818.2133038700963,8081.34857752249,17104.386170680737,36201.881835601314
62,50,2,6.166666667,1,0,0,0,0,0,0,237,409.4710297005938,707.4536884559678,1222.286034926364,2111.775195400648
63,82,7,35.0,1,0,0,0,0,0,0,555,1044.0523648855617,1964.0456587804188,3694.714441068319,6950.406035629206
64,61,8,51.16666667,1,0,0,0,0,0,0,438,804.6768766838691,1478.321634405721,2715.916062803169,4989.577293954343
65,18,10,68.5,1,0,0,0,0,0,0,1832,3883.452667793481,8232.098593336397,17450.308539209167,36990.96465633793
66,31,4,14.0,0,0,0,0,0,1,0,661,1265.381863308776,2422.377095296199,4637.264814648116,8877.323436937442
67,34,9,59.83333333,0,0,0,0,0,1,0,349,626.7696660841233,1125.6166599518706,2021.496785377536,3630.4093557627657
68,35,12,80.83333333,0,0,0,0,0,1,0,732,1415.6705225406047,2737.8729896043524,5294.9809915888,10240.366813121687
69,43,1,4.0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
70,40,6,37.16666667,0,0,0,1,0,0,0,1944,4145.394688915344,8839.65901588864,18849.73021413961,40195.25283805622
71,29,11,81.16666667,0,0,0,1,0,0,0,2675,5889.1981229465655,12965.478329464408,28544.400239620994,62842.477873574266
72,27,3,11.83333333,0,0,0,0,0,0,1,2719,5995.841287220471,13221.814174894289,29156.270438318516,64294.36192550039
73,41,5,23.83333333,0,0,0,0,0,0,1,140,229.47788538288188,376.14357056999296,616.5473655340627,1010.5998977224518
74,37,13,89.83333333,0,0,0,0,0,0,1,754,1462.542450706336,2836.9103715094066,5502.787595731551,10673.820233392093
75,33,12,101.5,1,0,0,0,0,0,0,128,207.9366134671964,337.79402515786086,548.7480128185822,891.4437768152308
76,38,2,18.33333333,1,0,0,0,0,0,0,1215,2471.9171220879866,5029.114616026127,10231.732122055912,20816.455819858118
77,52,5,34.66666667,1,0,0,0,0,0,0,419,766.3645818399291,1401.7056618107126,2563.7650915900426,4689.209456687848
78,50,7,46.0,0,0,0,0,0,1,0,1911,4068.0544362893384,8659.898951655332,18434.81964840338,39243.24953055003
79,39,10,72.66666667,0,0,0,0,0,1,0,243,420.88834623923736,728.9999999999998,1262.665038717712,2186.999999999999
80,17,13,97.0,0,0,0,0,0,1,0,1293,2647.027037712969,5418.98850609705,11093.74253108639,22711.087725608613
81,58,4,17.33333333,0,0,0,0,1,0,0,2458,5365.869007627938,11713.812126534573,25571.51401584547,55823.187361980636
82,50,1,11.66666667,0,0,0,1,0,0,0,1185,2404.862140660372,4880.474190364201,9904.529627744261,20100.445842034685
83,29,8,61.16666667,0,0,0,1,0,0,0,425,778.4448020585153,1425.8266114162827,2611.593680691087,4783.485943112563
84,34,9,76.66666667,0,0,0,1,0,0,0,4336,10018.396154754564,23147.661788192076,53483.03640460854,123573.39627779693
85,34,6,31.66666667,0,0,0,0,0,0,1,1684,3539.7802016914784,7440.643631999372,15640.286826836787,32875.996234211874
86,30,3,23.0,0,0,0,0,0,0,1,1205,2449.546858008038,4979.485319151072,10122.392214127518,20576.990907585936
87,26,11,97.83333333,0,0,0,0,0,0,1,381,690.2675752512897,1250.5756573314811,2265.700332426481,4104.828017611721
88,34,1,6.3333,1,0,0,0,0,0,0,69,105.37412947279289,160.92329220505667,245.75582359425687,375.30878223353693
89,45,5,20.0,1,0,0,0,0,0,0,264,461.0672972956314,805.2388357405224,1406.3230820922863,2456.0969037301215
90,33,8,45.66663333,1,0,0,0,0,0,0,1220,2483.1091699576696,5053.95995895726,10286.503539906278,20936.484644871533
91,45,11,56.49993333,1,0,0,0,0,0,0,302,534.5737600208647,946.25531424783,1674.9776863483025,2964.8977474909257
92,39,6,25.0,0,0,0,0,0,1,0,3603,8172.043850133059,18535.193085899926,42040.080674065306,95352.03517390853
93,27,7,39.99993333,0,0,0,0,0,1,0,213,364.0973883561053,622.3798507405464,1063.8820573713408,1818.575955905281
94,21,9,42.6666,0,0,0,0,0,1,0,146,240.31901836771806,395.57007252892845,651.1165172999939,1071.7512484968609
95,43,10,45.1666,0,0,0,0,0,1,0,1154,2335.7501730832505,4727.667999184078,9569.021964795804,19368.1496624863
96,30,13,81.1666,0,0,1,0,0,0,0,615,1168.8603515534026,2221.5195470464096,4222.1888109649135,8024.632679527293
97,46,3,12.66663333,0,0,1,0,0,0,0,466,861.4389576254592,1592.4400809331262,2943.755200429258,5441.771269017813
98,62,4,17.66663333,0,0,0,0,1,0,0,3207,7189.668325381962,16118.282079513741,36135.04899490229,81009.98353438535
99,42,2,6.3333,0,0,0,1,0,0,0,822,1608.2701422844686,3146.633638155354,6156.492614298305,12045.381086095866
100,21,12,68.83323333,0,0,0,1,0,0,0,2433,5305.866515263482,11570.990332015703,25233.921147176163,55029.92900271305
101,29,15,94.77766667,0,0,0,1,0,0,0,4259,9822.870172631012,22655.266125466973,52251.64073183078,120512.11157918087
102,51,16,88.22206667,0,0,0,1,0,0,0,982,1955.791870365994,3895.2360898062193,7757.913520976809,15450.981868970312
103,24,14,81.57386667,0,0,0,0,0,0,1,1342,2757.577757514598,5666.345073576175,11643.358525555948,23925.086805395676
104,32,3,23.5,1,0,0,0,0,0,0,167,278.6044944985786,464.79319972939186,775.4100266885276,1293.6090929023135
105,38,1,12.66666667,1,0,0,0,0,0,0,1768,3734.482999549883,7888.214521451961,16661.992662423567,35194.529602061986
106,40,7,55.99993333,1,0,0,0,0,0,0,325,579.5243614072398,1033.3799552752882,1842.6734112983186,3285.7665598915596
107,80,2,13.0,0,0,0,0,1,0,0,1964,4192.331649804989,8948.902577370975,19102.223781127177,40775.38561062977
108,32,8,66.49996667,0,0,0,0,0,1,0,3251,7298.248832018003,16384.015999400814,36780.8753095636,82570.2799965001
109,24,10,87.62956667,0,0,0,0,0,1,0,1279,2615.5173118584075,5348.655831611431,10937.843567437158,22367.567791267367
110,42,6,54.6666,0,0,1,0,0,0,0,5171,12159.955666127564,28594.956836624944,67242.97184455437,158126.38880070462
111,31,11,93.59253333,0,0,0,1,0,0,0,7063,17135.158534457736,41570.67223573541,100852.33741233282,244672.34746296794
112,32,9,83.1666,0,0,0,0,0,0,1,1318,2703.379096091606,5544.960953858162,11373.392664115574,23328.21849758089
113,35,4,25.66666667,0,0,0,0,0,0,1,1530,3185.3750488832493,6631.773988266632,13806.985223566984,28745.37662186269
114,32,5,42.66663333,0,0,0,0,0,0,1,70,107.05521894516544,163.7259986199614,250.39603756108315,382.9457517729086
115,58,1,5.0,1,0,0,0,0,0,0,4679,10893.522875137061,25362.009111163545,59047.15247101831,137472.00388004756
116,76,5,31.83333333,1,0,0,0,0,0,0,436,800.6360447244283,1470.2249452109538,2699.8052408002,4957.7096089920915
117,19,11,82.48603333,1,0,0,0,0,0,0,2205,4761.562104815888,10282.30098776357,22203.997611630835,47948.16943445066
118,50,12,89.95833333,1,0,0,0,0,0,0,538,1008.9287629016216,1892.076670279173,3548.2724428620545,6654.189825677922
119,41,7,55.45833333,0,0,0,0,0,1,0,640,1221.231425700701,2330.322179873382,4446.660434482399,8485.00228439036
120,39,8,58.74996667,0,0,0,0,0,1,0,2339,5080.813386674908,11036.62448491445,23973.933059708164,52076.56264258792
121,41,3,17.0,1,0,0,0,0,0,0,1217,2476.393389608699,5039.050304106534,10253.632590793037,20864.443687194867
122,57,2,9.333333333,0,0,0,1,0,0,0,1482,3075.622462061095,6382.897118174587,13246.546389799456,27490.806761944295
123,31,9,79.79163333,0,0,0,1,0,0,0,884,1742.1979224566885,3433.5447975253355,6766.871734061777,13336.232892096492
124,28,4,22.33333333,0,0,0,0,0,0,1,206,350.95702696395415,597.916673666881,1018.6556221471133,1735.4580031498422
125,25,6,48.6666,0,0,0,0,0,0,1,1550,3231.207647146039,6735.937328370984,14042.07239105083,29272.807543059116
126,19,10,73.68046667,0,0,0,0,0,0,1,1109,2235.757522996421,4507.314428886459,9086.800850219312,18319.101317266064
127,49,8,69.58333333,1,0,0,0,0,0,0,1221,2485.3481306157705,5058.931474492462,10297.465915678235,20960.514057011038
128,22,9,86.55553333,1,0,0,0,0,0,0,1869,3969.814662970246,8432.010946138867,17909.855908136808,38041.09609192384
129,60,10,79.66663333,1,0,0,0,0,0,0,1546,3222.0363711890304,6715.083038334385,13994.981749720524,29167.102336174743
130,35,11,86.4722,0,0,0,0,0,1,0,1890,4018.907260273229,8545.828342157061,18171.900301240075,38640.83706540471
131,54,3,25.0,0,0,0,0,0,1,0,1295,2651.531221516288,5429.048508629843,11116.055307921599,22760.283945216932
132,40,5,44.66666667,0,0,0,0,0,1,0,8158,20078.99960035769,49419.738287713095,121635.07052326217,299376.13783109287
133,31,4,35.33333333,0,0,1,0,0,0,0,124,200.80006713708298,325.1666690504595,526.5603949683381,852.6884085594443
134,32,1,10.0,0,0,0,0,0,0,1,994,1982.0975414409222,3952.425215076602,7881.380585042697,15715.960845848414
135,21,7,62.5,0,0,0,1,0,0,0,913,1805.1689520935658,3569.1510904737984,7056.868273662864,13952.726732344256
136,46,2,15.33333333,0,0,0,0,0,0,1,1813,3839.1721324475084,8129.753261203268,17215.401083334713,36454.98515611979
137,25,6,49.29166667,0,0,0,0,0,0,1,2224,4806.71376615845,10388.712783173161,22453.043501593842,48527.58691154023
138,33,2,12.0,1,0,0,0,0,0,0,340,609.0133443479486,1090.874275276096,1953.9911489677643,3500.0196601739626
139,40,7,51.5,1,0,0,0,0,0,0,1205,2449.546858008038,4979.485319151072,10122.392214127518,20576.990907585936
140,42,10,88.6666,1,0,0,0,0,0,0,914,1807.3439735138363,3573.842711812667,7066.918038819442,13974.126617917416
141,28,12,87.72216667,1,0,0,0,0,0,0,495,920.5888676588002,1712.0886126410317,3184.100438874209,5921.7119546163485
142,31,1,4.666666667,0,0,0,0,0,1,0,2658,5848.041882186175,12866.664355080346,28308.800614199332,62284.067579494025
143,30,9,69.1666,0,0,0,0,0,1,0,701,1349.8633927246763,2599.331211152883,5005.338156208235,9638.406198678336
144,43,4,30.0,0,0,0,1,0,0,0,245,424.70042227091517,736.2059129677284,1276.1916821050565,2212.2414134230467
145,24,3,21.66666667,0,0,0,0,0,0,1,2036,4361.697587247652,9344.010728193496,20017.558471698307,42883.36762701138
146,41,5,32.33333333,0,0,0,0,0,0,1,453,835.0414280333827,1539.2807649713686,2837.446375554104,5230.431067132101
147,42,6,37.66666667,0,0,0,0,0,0,1,945,1874.8865318808628,3719.787838548406,7380.084783014425,14642.139220965739
148,51,8,56.33333333,0,0,0,0,0,0,1,2857,6331.42205061766,14031.118369985112,31094.481008943036,68908.74438660611
149,24,11,81.27766667,0,0,0,0,0,0,1,1567,3270.211911696212,6824.68790516897,14242.61370841904,29723.270582616224
150,31,10,92.55553333,1,0,0,0,0,0,0,1942,4140.703640025569,8828.746979670945,18824.523561065,40137.37035584388
151,52,2,22.66666667,1,0,0,0,0,0,0,403,734.235790977467,1337.7225725863668,2437.2302510951936,4440.450821853815
152,44,3,30.33333333,1,0,0,0,0,0,0,1175,2382.5479690415596,4831.09346790132,9796.010153360197,19863.373698381954
153,35,6,60.49993333,1,0,0,0,0,0,0,1994,4262.826622237475,9113.184960509796,19482.410964410898,41650.020122598755
154,20,7,69.33326667,1,0,0,0,0,0,0,943,1870.5221788531303,3710.3427588350546,7359.786237060531,14598.773476182103
155,47,8,62.0,1,0,0,0,0,0,0,678,1301.225792818007,2497.3282653316346,4792.902584045684,9198.596555788068
156,55,1,12.33333333,0,0,0,0,0,1,0,1848,3920.777196013082,8318.449037216547,17648.693339456506,37444.04458050266
157,37,12,90.38883333,0,0,0,0,0,1,0,738,1428.439983389972,2764.8249134785096,5351.47215919434,10358.07154768489
158,35,4,35.66666667,0,0,0,1,0,0,0,1362,2802.8174863986937,5767.831029414302,11869.44028475432,24425.752411067875
159,67,5,44.0,0,0,0,1,0,0,0,1160,2349.112350309981,4757.180029636961,9633.750310576024,19509.277443428204
160,31,11,95.16663333,0,0,0,1,0,0,0,1195,2427.1951509638707,4929.938327081604,10013.324185810383,20338.31958897755
161,33,9,80.16663333,0,0,0,0,0,0,1,911,1800.8196241330186,3559.7709315725374,7036.778650926566,13909.955088110659
162,36,8,74.38416667,1,0,0,0,0,0,0,244,422.7939936724824,732.6014798587166,1269.4242026222848,2199.6103618491047
163,28,6,53.29166667,1,0,0,0,0,0,0,2048,4389.984102548659,9410.136924135708,20171.070068243116,43237.63522020617
164,61,7,64.5833,1,0,0,0,0,0,0,1668,3502.8024994675907,7355.890497767614,15447.381067979795,32439.523390376427
165,36,11,90.6434,1,0,0,0,0,0,0,941,1866.1587513595127,3700.901684671297,7339.500602306594,14555.444505422789
166,30,9,82.3379,0,0,0,0,0,1,0,974,1938.272582503443,3857.1874785262426,7675.852910886041,15275.046452258352
167,43,10,81.35176667,0,0,0,0,0,1,0,2154,4640.558681593448,9997.578865975991,21538.696100937817,46402.777707246874
168,20,12,94.5508,0,0,0,0,0,1,0,1929,4110.223617644847,8757.87360655545,18660.87036703611,39761.71597117706
169,45,1,5.666666667,0,0,1,0,0,0,0,5720,13587.377188329741,32275.667632507528,76668.12414825968,182118.65753917728
170,37,4,23.33333333,0,0,0,0,0,1,0,130,211.5133031369914,344.1375184916982,559.9204866888196,911.0048587201841
171,35,2,14.33333333,0,0,0,1,0,0,0,980,1951.4107057165859,3885.7181044747936,7737.379498437624,15406.944068819574
172,36,3,22.66666667,0,0,0,1,0,0,0,346,620.8457445228303,1114.0157181852803,1998.9361790950168,3586.7948565429647
173,21,5,28.0,0,0,0,0,0,0,1,1514,3148.7520458389913,6548.6390001157315,13619.577575347039,28325.41133014318
174,29,13,94.70356667,0,0,0,0,0,0,1,554,1041.9832584337587,1959.7998390906712,3686.062494970494,6932.8798001801815
175,41,8,67.5,1,0,0,0,0,0,0,241,417.07940646151883,721.8059389804673,1249.1717535700107,2161.841549989519
176,16,11,90.99993333,1,0,0,0,0,0,0,1757,3708.9325691986123,7829.357315231756,16527.352499918306,34888.35285689984
177,56,1,12.0,0,0,0,0,0,1,0,391,710.2225104830233,1290.066532984162,2343.3102090694156,4256.4492570991715
178,26,5,39.33333333,0,0,0,0,0,1,0,993,1979.904183705446,3947.6541557445344,7871.074500282773,15693.830144377736
179,18,9,88.16666667,0,0,0,0,0,1,0,837,1640.5822323486234,3215.663155433678,6302.938874578975,12354.22882821228
180,28,10,83.9999,0,0,0,0,0,1,0,457,843.1557771718175,1555.6053929501327,2870.0605559420997,5295.203804322837
181,50,4,27.66666667,1,0,0,0,0,0,0,587,1110.4574225543167,2100.708155546805,3974.0152707791103,7517.844556696525
182,47,6,44.16666667,1,0,0,0,0,0,0,2355,5119.057438768106,11127.281979366047,24187.344199466694,52575.96783368339
183,48,2,17.0,0,0,0,1,0,0,0,743,1439.0891377334892,2787.318366544434,5398.653546028462,10456.451785297351
184,26,12,89.16666667,0,0,0,1,0,0,0,3532,7995.079091953527,18097.760386917416,40966.315311616134,92731.8604253333
185,52,3,25.0,0,0,0,0,0,0,1,102,161.97955031042886,257.2291639094973,408.488865654784,648.6945369174415
186,29,7,57.33333333,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0
187,74,3,24.66666667,1,0,0,0,0,0,0,581,1097.9782713084555,2074.967787031846,3921.2900926436446,7410.48419487063
188,28,6,68.83333333,1,0,0,0,0,0,0,199,337.8612496458904,573.6192161421233,973.8879657621801,1653.46233732414
189,39,7,79.6666,1,0,0,0,0,0,0,1019,2037.002689489933,4072.011734042407,8140.03812941997,16272.109482020662
190,43,8,82.9583,1,0,0,0,0,0,0,1459,3023.1578307045434,6264.210602707461,12979.915926495878,26895.3629027228
191,24,11,101.4304333,1,0,0,0,0,0,0,5967,14234.153392318678,33955.274475625425,80999.59533506545,193222.8363859661
192,27,12,101.3193667,1,0,0,0,0,0,0,519,969.8042737349439,1812.1778985637006,3386.23867205219,6327.531283319365
193,41,1,11.66666667,0,0,0,0,0,1,0,720,1390.1630664142963,2684.1018766977722,5182.415688164642,10006.115117350699
194,56,9,83.33326667,1,0,0,0,0,0,0,676,1297.0041495387077,2488.490775030509,4774.530859916221,9160.630676644889
195,31,4,41.66666667,0,0,0,1,0,0,0,4663,10852.55403815497,25257.9732256216,58784.79934062402,136814.3280004756
196,25,5,58.66666667,0,0,0,0,0,0,1,1514,3148.7520458389913,6548.6390001157315,13619.577575347039,28325.41133014318
197,27,10,95.70823333,0,0,0,0,0,0,1,787,1533.1060786657588,2986.5492356313803,5817.9120551220385,11333.515040470624
198,57,2,15.66666667,0,0,0,0,0,0,1,3841,8767.761706470174,20013.966503890817,45685.41762754247,104285.04431628835
199,76,3,10.0,1,0,0,0,0,0,0,1103,2222.455447746592,4478.067286689482,9022.942009681632,18180.495579436538
200,39,7,70.25,1,0,0,0,0,0,0,998,1990.8731770972838,3971.519045376179,7922.636011794032,15804.572673131977
201,23,9,88.75,1,0,0,0,0,0,0,2337,5076.034715687088,11025.300999084486,23947.287386500804,52014.23282858937
202,37,10,82.99993333,1,0,0,0,0,0,0,1335,2741.759723023486,5630.896163890496,11564.467645454994,23750.55551199753
203,33,2,13.66666667,0,0,0,0,0,1,0,3080,6877.107104913785,15355.390302745318,34285.929788874695,76554.54913949511
204,64,1,6.0,0,0,0,0,0,1,0,663,1269.5940582760643,2431.175072111439,4655.513463320612,8914.95057504685
205,26,8,81.20833333,0,0,0,0,0,1,0,853,1675.1123258854468,3289.5677659242056,6460.018184683575,12686.114990161277
206,34,11,91.26386667,0,0,0,0,0,1,0,254,441.892965707823,768.7771383545472,1337.469329275056,2326.843655340971
207,27,12,93.58333333,0,0,0,0,0,1,0,1020,2039.201720767907,4076.807507826262,8150.424397253761,16294.470054773114
208,55,5,44.75,1,0,0,0,0,0,0,2528,5534.19906403141,12115.252879875823,26522.239378288225,58061.452667460224
209,17,4,39.66666667,0,0,0,1,0,0,0,1777,3755.3997289029653,7936.424943075093,16772.339943546955,35445.605445731286
210,46,6,55.25,0,0,0,0,0,0,1,707,1362.57794533473,2626.0518488155753,5061.103723481749,9754.099452146678
211,42,6,49.875,1,0,0,0,0,0,0,739,1430.569238666444,2769.321172691051,5360.900787062924,10377.726329519535
212,33,5,43.0,1,0,0,0,0,0,0,682,1309.6728126029125,2515.0188798698255,4829.69479493921,9274.662706893949
213,53,8,76.25,1,0,0,0,0,0,0,655,1252.7529381518623,2396.0151512185057,4582.6183519776505,8764.715427280364
214,25,11,99.49995,1,0,0,0,0,0,0,686,1318.1247881317688,2532.7302581449244,4866.5518001635555,9350.90752262807
215,42,13,101.0,1,0,0,0,0,0,0,1740,3669.477026962827,7738.541178970073,16319.769585308342,34416.67791874456
216,32,1,5.5,0,0,0,0,0,1,0,787,1533.1060786657588,2986.5492356313803,5817.9120551220385,11333.515040470624
217,51,3,21.25,0,0,0,0,0,1,0,4245,9787.357772224555,22565.929837814892,52028.46378930779,119957.87737224605
218,76,9,71.625,1,0,0,0,0,0,0,1246,2541.3813970498336,5183.482668756785,10572.396810841668,21563.798216133197
219,72,4,26.5,0,0,1,0,0,0,0,436,800.6360447244283,1470.2249452109538,2699.8052408002,4957.7096089920915
220,51,7,51.25,0,0,0,0,0,1,0,1190,2416.0262999011547,4905.195867070635,9958.892622696725,20219.282768341884
221,50,2,14.25,0,0,0,0,0,0,1,586,1108.376674572502,2096.41442446484,3965.2164646999404,7499.920544546496
222,18,10,99.125,0,1,0,0,0,0,0,412,752.2928559812008,1373.6517989328904,2508.224356657617,4579.901127940694
223,17,12,96.7083,0,0,0,0,0,0,1,211,360.33852860366346,615.373721309256,1050.914034492598,1794.714771933658
224,68,4,33.5,1,0,0,0,0,0,0,904,1785.6045072964946,3526.972850085788,6966.569267948615,13760.550315533483
225,14,6,59.375,1,0,0,0,0,0,0,567,1068.9105531100633,2015.1142337743565,3798.9010056502807,7161.702601693142
226,23,11,90.75,1,0,0,0,0,0,0,684,1313.8981825320402,2523.8719796213395,4848.1152148655265,9312.762820932367
227,26,12,90.625,1,0,0,0,0,0,0,877,1727.0286916884568,3400.944243916919,6697.295653451795,13188.622292168327
