index,season,week,placement,Judge_Share,Has_Previous_Week,is_eliminated,log_fame,age_scaled,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,pred_V,pred_sigma,pred_total_score
22,3,2,10,0.0956521739130434,1,1,6.51669439740386,-0.5663154403787483,0,0,1,0,0,0,0,0.09808647238250941,0.7180958662011666,0.19373864629555282
23,3,2,7,0.0999999999999999,1,0,8.159153179977599,-1.0027134886998943,0,0,0,1,0,0,0,0.10106523841652681,0.7163741512266837,0.2010652384165267
24,3,2,6,0.0913043478260869,1,0,7.559260492708042,-0.2753834081646507,0,0,0,1,0,0,0,0.10125223968293483,0.7199113286269956,0.19255658750902171
25,3,2,5,0.0826086956521739,1,0,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.09921879422131655,0.7328857197348142,0.18182748987349046
16,3,3,9,0.1062801932367149,1,1,5.248606116111175,1.1065437448523123,1,0,0,0,0,0,0,0.11133272664834404,0.7207345012441134,0.21761291988505893
17,3,3,8,0.1304347826086956,1,0,6.069809256416506,0.23374764821002,1,0,0,0,0,0,0,0.11114229544520672,0.716920801682503,0.24157707805390233
18,3,3,4,0.1304347826086956,1,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.11089283345982363,0.7116932864971595,0.2413276160685192
19,3,3,3,0.1062801932367149,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.11050200251840143,0.7096635916972831,0.21678219575511634
20,3,3,2,0.1062801932367149,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.11126497196404382,0.7159116268380499,0.21754516520075873
21,3,3,1,0.0917874396135265,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.11053569924726882,0.7205992856406277,0.20232313886079534
23,3,3,7,0.1062801932367149,1,0,8.159153179977599,-1.0027134886998943,0,0,0,1,0,0,0,0.11205646142541226,0.7163741512266837,0.21833665466212715
24,3,3,6,0.1207729468599033,1,0,7.559260492708042,-0.2753834081646507,0,0,0,1,0,0,0,0.11226379977956909,0.7199113286269956,0.23303674663947238
25,3,3,5,0.1014492753623188,1,0,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.11000920951193018,0.7328857197348142,0.21145848487424898
17,3,4,8,0.1212121212121212,1,1,6.069809256416506,0.23374764821002,1,0,0,0,0,0,0,0.12506626358145004,0.716920801682503,0.24627838479357123
18,3,4,4,0.1212121212121212,1,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.12478554886080749,0.7116932864971595,0.2459976700729287
19,3,4,3,0.1363636363636363,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.12434575440326191,0.7096635916972831,0.2607093907668982
20,3,4,2,0.1464646464646464,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.1252043090822981,0.7159116268380499,0.2716689555469445
21,3,4,1,0.1212121212121212,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.12438367267692614,0.7205992856406277,0.24559579388904734
23,3,4,7,0.1414141414141414,1,0,8.159153179977599,-1.0027134886998943,0,0,0,1,0,0,0,0.1260949567803767,0.7163741512266837,0.26750909819451807
24,3,4,6,0.101010101010101,1,0,7.559260492708042,-0.2753834081646507,0,0,0,1,0,0,0,0.12632827059801605,0.7199113286269956,0.22733837160811704
25,3,4,5,0.1111111111111111,1,0,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.12379122401686357,0.7328857197348142,0.23490233512797468
18,3,5,4,0.149171270718232,1,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.14262285664238314,0.7116932864971595,0.29179412736061516
19,3,5,3,0.1381215469613259,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.14212019633882025,0.7096635916972831,0.2802417433001462
20,3,5,2,0.149171270718232,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.14310147599840975,0.7159116268380499,0.2922727467166417
21,3,5,1,0.149171270718232,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.14216353479073482,0.7205992856406277,0.29133480550896684
23,3,5,7,0.149171270718232,1,1,8.159153179977599,-1.0027134886998943,0,0,0,1,0,0,0,0.144119436171856,0.7163741512266837,0.29329070689008796
24,3,5,6,0.1325966850828729,1,1,7.559260492708042,-0.2753834081646507,0,0,0,1,0,0,0,0.14438610072932798,0.7199113286269956,0.27698278581220087
25,3,5,5,0.1325966850828729,1,0,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.14148639932846807,0.7328857197348142,0.274083084411341
18,3,6,4,0.1949152542372881,1,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.20045532894410586,0.7116932864971595,0.39537058318139395
19,3,6,3,0.2033898305084745,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.19974884375042828,0.7096635916972831,0.4031386742589028
20,3,6,2,0.2372881355932203,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.2011280247707776,0.7159116268380499,0.4384161603639979
21,3,6,1,0.211864406779661,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.19980975561153516,0.7205992856406277,0.41167416239119614
25,3,6,5,0.1525423728813559,1,0,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.19885804692315323,0.7328857197348142,0.3514004198045091
18,3,7,4,0.2,1,0,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.20045532894410586,0.7116932864971595,0.40045532894410585
19,3,7,3,0.2111111111111111,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.19974884375042828,0.7096635916972831,0.41085995486153937
20,3,7,2,0.2074074074074074,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.2011280247707776,0.7159116268380499,0.408535432178185
21,3,7,1,0.2111111111111111,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.19980975561153516,0.7205992856406277,0.41092086672264627
25,3,7,5,0.1703703703703703,1,1,7.280019118100853,1.6884078092805077,0,0,0,0,0,0,1,0.19885804692315323,0.7328857197348142,0.3692284172935235
18,3,8,4,0.2431192660550458,1,1,7.268837980196771,-1.0027134886998943,1,0,0,0,0,0,0,0.2502119982285809,0.7116932864971595,0.4933312642836267
19,3,8,3,0.2477064220183486,1,0,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.2493301505223607,0.7096635916972831,0.4970365725407093
20,3,8,2,0.2614678899082568,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.2510516694305298,0.7159116268380499,0.5125195593387866
21,3,8,1,0.2477064220183486,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.24940618181852856,0.7205992856406277,0.49711260383687716
19,3,9,3,0.3333333333333333,1,1,6.0774107840447895,-0.6390484484322726,1,0,0,0,0,0,0,0.332534196243876,0.7096635916972831,0.6658675295772093
20,3,9,2,0.3333333333333333,1,0,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.3348302037874775,0.7159116268380499,0.6681635371208108
21,3,9,1,0.3333333333333333,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.33263559996864644,0.7205992856406277,0.6659689333019798
20,3,10,2,0.5,1,1,7.260383232018932,-0.4935824323252238,1,0,0,0,0,0,0,0.5016439822133816,0.7159116268380499,1.0016439822133816
21,3,10,1,0.5,1,0,7.299338906550068,-0.1299173920576019,0,0,0,0,0,1,0,0.49835601778661837,0.7205992856406277,0.9983560177866184
27,4,1,6,0.0825242718446602,0,0,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.09262221930974143,0.731619043503424,0.17514649115440162
28,4,1,4,0.1019417475728155,0,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.09136496872335192,0.7165142561408184,0.1933067162961674
29,4,1,8,0.0776699029126213,0,0,6.558017868296787,0.3792136643170687,0,0,0,0,0,1,0,0.09088117892458542,0.7217038508388851,0.1685510818372067
30,4,1,3,0.1116504854368932,0,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.09030950235683886,0.7133753920235107,0.20195998779373206
31,4,1,1,0.1019417475728155,0,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.08996179726038729,0.7091244515518189,0.1919035448332028
32,4,1,10,0.0922330097087378,0,0,6.8254567973405695,-0.7845144645393214,0,0,1,0,0,0,0,0.08945194810712982,0.717585712863826,0.18168495781586763
33,4,1,11,0.0922330097087378,0,0,6.959860864791909,0.1610146401564956,0,0,1,0,0,0,0,0.09007778169841893,0.7261242992076575,0.18231079140715672
34,4,1,7,0.087378640776699,0,0,8.389639499533974,0.0155486240494468,0,0,1,0,0,0,0,0.09063579069867918,0.7310673112478898,0.17801443147537818
35,4,1,5,0.0631067961165048,0,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.09355957273751507,0.7332875201645935,0.15666636885401986
36,4,1,2,0.116504854368932,0,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.09200513474413254,0.7159104468444201,0.20850998911306454
37,4,1,9,0.0728155339805825,0,0,5.44345329318986,0.8156117126382151,0,0,0,0,0,0,1,0.08913010543921962,0.7176053645546031,0.1619456394198021
27,4,2,6,0.0857142857142857,1,0,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.09262221930974143,0.731619043503424,0.17833650502402715
28,4,2,4,0.0897959183673469,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.09136496872335192,0.7165142561408184,0.18116088709069883
29,4,2,8,0.073469387755102,1,0,6.558017868296787,0.3792136643170687,0,0,0,0,0,1,0,0.09088117892458542,0.7217038508388851,0.16435056667968742
30,4,2,3,0.110204081632653,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.09030950235683886,0.7133753920235107,0.20051358398949187
31,4,2,1,0.1061224489795918,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.08996179726038729,0.7091244515518189,0.1960842462399791
32,4,2,10,0.0816326530612245,1,0,6.8254567973405695,-0.7845144645393214,0,0,1,0,0,0,0,0.08945194810712982,0.717585712863826,0.17108460116835433
33,4,2,11,0.0857142857142857,1,1,6.959860864791909,0.1610146401564956,0,0,1,0,0,0,0,0.09007778169841893,0.7261242992076575,0.17579206741270464
34,4,2,7,0.0979591836734694,1,0,8.389639499533974,0.0155486240494468,0,0,1,0,0,0,0,0.09063579069867918,0.7310673112478898,0.18859497437214856
35,4,2,5,0.0857142857142857,1,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.09355957273751507,0.7332875201645935,0.17927385845180077
36,4,2,2,0.0979591836734694,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.09200513474413254,0.7159104468444201,0.18996431841760192
37,4,2,9,0.0857142857142857,1,0,5.44345329318986,0.8156117126382151,0,0,0,0,0,0,1,0.08913010543921962,0.7176053645546031,0.1748443911535053
27,4,3,6,0.091743119266055,1,0,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.10179135913685655,0.731619043503424,0.19353447840291155
28,4,3,4,0.110091743119266,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.10040964698487038,0.7165142561408184,0.21050139010413638
29,4,3,8,0.073394495412844,1,0,6.558017868296787,0.3792136643170687,0,0,0,0,0,1,0,0.0998779643981219,0.7217038508388851,0.1732724598109659
30,4,3,3,0.0963302752293577,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.09924969468863659,0.7133753920235107,0.1955799699179943
31,4,3,1,0.1055045871559633,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.0988675685140493,0.7091244515518189,0.2043721556700126
32,4,3,10,0.0963302752293577,1,1,6.8254567973405695,-0.7845144645393214,0,0,1,0,0,0,0,0.09830724682610423,0.717585712863826,0.19463752205546192
34,4,3,7,0.110091743119266,1,0,8.389639499533974,0.0155486240494468,0,0,1,0,0,0,0,0.09960828395624383,0.7310673112478898,0.20970002707550983
35,4,3,5,0.0963302752293577,1,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.10282150589986588,0.7332875201645935,0.1991517811292236
36,4,3,2,0.110091743119266,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.10111318626317872,0.7159104468444201,0.21120492938244473
37,4,3,9,0.110091743119266,1,0,5.44345329318986,0.8156117126382151,0,0,0,0,0,0,1,0.09795354333207269,0.7176053645546031,0.20804528645133868
27,4,4,6,0.0842105263157894,1,0,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.11288918401368765,0.731619043503424,0.19709971032947704
28,4,4,4,0.1263157894736842,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.1113568303964243,0.7165142561408184,0.2376726198701085
29,4,4,8,0.0789473684210526,1,0,6.558017868296787,0.3792136643170687,0,0,0,0,0,1,0,0.11076718100102104,0.7217038508388851,0.18971454942207364
30,4,4,3,0.1105263157894736,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.11007041405099971,0.7133753920235107,0.2205967298404733
31,4,4,1,0.1368421052631578,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.10964662648783895,0.7091244515518189,0.24648873175099673
34,4,4,7,0.1210526315789473,1,0,8.389639499533974,0.0155486240494468,0,0,1,0,0,0,0,0.11046809859082221,0.7310673112478898,0.2315207301697695
35,4,4,5,0.1105263157894736,1,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.11403164274964098,0.7332875201645935,0.2245579585391146
36,4,4,2,0.1473684210526316,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.11213707319623822,0.7159104468444201,0.2595054942488698
37,4,4,9,0.0842105263157894,1,1,5.44345329318986,0.8156117126382151,0,0,0,0,0,0,1,0.10863294951332704,0.7176053645546031,0.19284347582911643
27,4,5,6,0.1022727272727272,1,0,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.12664724812528336,0.731619043503424,0.22891997539801057
28,4,5,4,0.1363636363636363,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.1249281430535548,0.7165142561408184,0.2612917794171911
29,4,5,8,0.0738636363636363,1,1,6.558017868296787,0.3792136643170687,0,0,0,0,0,1,0,0.12426663173217344,0.7217038508388851,0.19813026809580975
30,4,5,3,0.1590909090909091,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.12348494819379169,0.7133753920235107,0.2825758572847008
31,4,5,1,0.1704545454545454,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.12300951266705847,0.7091244515518189,0.29346405812160387
34,4,5,7,0.1193181818181818,1,0,8.389639499533974,0.0155486240494468,0,0,1,0,0,0,0,0.12393109946178545,0.7310673112478898,0.24324928127996726
35,4,5,5,0.096590909090909,1,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.12792894093110285,0.7332875201645935,0.22451985002201186
36,4,5,2,0.1420454545454545,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.12580347583524998,0.7159104468444201,0.26784893038070445
27,4,6,6,0.1117647058823529,1,0,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.14461850229115705,0.731619043503424,0.25638320817350996
28,4,6,4,0.1411764705882353,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.14265545607866786,0.7165142561408184,0.28383192666690316
30,4,6,3,0.1647058823529411,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.14100747175826026,0.7133753920235107,0.3057133541112014
31,4,6,1,0.1647058823529411,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.14046457189403147,0.7091244515518189,0.30517045424697253
34,4,6,7,0.1352941176470588,1,1,8.389639499533974,0.0155486240494468,0,0,1,0,0,0,0,0.1415169319252015,0.7310673112478898,0.2768110495722603
35,4,6,5,0.1235294117647058,1,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.14608206740385185,0.7332875201645935,0.26961147916855766
36,4,6,2,0.1588235294117647,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.14365499864883002,0.7159104468444201,0.3024785280605947
27,4,7,6,0.145631067961165,1,1,7.06084528701041,1.4702087851199346,1,0,0,0,0,0,0,0.16845818824997097,0.731619043503424,0.314089256211136
28,4,7,4,0.174757281553398,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.16617154302015713,0.7165142561408184,0.3409288245735551
30,4,7,3,0.1909385113268608,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.16425189616666322,0.7133753920235107,0.35519040749352404
31,4,7,1,0.174757281553398,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.16361950179056178,0.7091244515518189,0.3383767833439598
35,4,7,5,0.1229773462783171,1,0,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.17016301524903682,0.7332875201645935,0.2931403615273539
36,4,7,2,0.1909385113268608,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.1673358555236101,0.7159104468444201,0.35827436685047087
28,4,8,4,0.1872509960159362,1,0,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.19983546307844613,0.7165142561408184,0.38708645909438233
30,4,8,3,0.2111553784860558,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.19752692389692988,0.7133753920235107,0.4086823023829857
31,4,8,1,0.2310756972111554,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.19676641568535783,0.7091244515518189,0.4278421128965132
35,4,8,5,0.1513944223107569,1,1,9.235007156920751,0.4519466723705931,0,0,0,1,0,0,0,0.204635549102358,0.7332875201645935,0.3560299714131149
36,4,8,2,0.2191235059760956,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.2012356482369081,0.7159104468444201,0.4203591542130037
28,4,9,4,0.2447257383966244,1,1,5.97462618075203,0.23374764821002,1,0,0,0,0,0,0,0.2512501820428527,0.7165142561408184,0.49597592043947714
30,4,9,3,0.2531645569620253,1,0,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.24834768975908164,0.7133753920235107,0.501512246721107
31,4,9,1,0.2489451476793249,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.24739151399498535,0.7091244515518189,0.49633666167431023
36,4,9,2,0.2531645569620253,1,0,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.2530106142030803,0.7159104468444201,0.5061751711651056
30,4,10,3,0.3281854310465651,1,1,6.7499925817567705,-0.7117814564857969,0,0,0,0,0,1,0,0.33168313875075317,0.7133753920235107,0.6598685697973183
31,4,10,1,0.3397685007685367,1,0,6.46295547152033,-1.075446496753419,0,0,0,0,0,1,0,0.33040610903913986,0.7091244515518189,0.6701746098076766
36,4,10,2,0.3320460681848982,1,1,7.337069782930996,-0.6390484484322726,0,0,0,1,0,0,0,0.337910752210107,0.7159104468444201,0.6699568203950053
38,5,1,5,0.0817120622568093,0,0,5.456232490822838,-0.0571843840040775,1,0,0,0,0,0,0,0.08311270124392796,0.7118734706993409,0.16482476350073727
39,5,1,6,0.0933852140077821,0,0,7.237541648307627,1.2520097609593617,1,0,0,0,0,0,0,0.08459055519795608,0.7305307480829897,0.17797576920573818
40,5,1,7,0.1011673151750972,0,0,8.023360906937263,-1.1481795048069432,1,0,0,0,0,0,0,0.08357600454156701,0.713689356850423,0.1847433197166642
41,5,1,4,0.0817120622568093,0,0,6.758615647543506,-0.2753834081646507,1,0,0,0,0,0,0,0.08353384750758137,0.7155971607039883,0.16524590976439069
42,5,1,9,0.0700389105058365,0,0,8.855701159914881,-0.6390484484322726,0,0,0,0,0,1,0,0.08343888871519559,0.7229920767393189,0.15347779922103208
43,5,1,12,0.0622568093385213,0,1,7.360713598398568,-0.7117814564857969,0,0,1,0,0,0,0,0.08200051316699589,0.7204877630597513,0.14425732250551718
44,5,1,11,0.0817120622568093,0,0,4.679511268394886,-1.2209125128604676,0,0,1,0,0,0,0,0.08063513580006187,0.70483103111539,0.16234719805687117
45,5,1,1,0.0972762645914396,0,0,4.098179110519792,-0.4935824323252238,0,0,0,0,0,1,0,0.08155758997871401,0.7039507820378991,0.1788338545701536
46,5,1,2,0.0933852140077821,0,0,8.335456677720716,-0.4935824323252238,0,0,0,1,0,0,0,0.08457741810342607,0.7214038028383447,0.17796263211120816
47,5,1,10,0.0739299610894941,0,0,6.97071041469933,1.9066068334410808,0,0,0,1,0,0,0,0.08535682825483286,0.7358480637447307,0.15928678934432694
48,5,1,3,0.0817120622568093,0,0,7.589736496990862,0.597412688477642,0,0,0,1,0,0,0,0.08487761200920993,0.727404156168134,0.16658967426601923
49,5,1,8,0.0817120622568093,0,0,8.697518111839258,0.7428787045846906,0,0,0,0,0,0,1,0.08274290548053147,0.7309901637098292,0.16445496773734075
38,5,2,5,0.088235294117647,1,0,5.456232490822838,-0.0571843840040775,1,0,0,0,0,0,0,0.09053676220523553,0.7118734706993409,0.1787720563228825
39,5,2,6,0.088235294117647,1,0,7.237541648307627,1.2520097609593617,1,0,0,0,0,0,0,0.0921466258001778,0.7305307480829897,0.1803819199178248
40,5,2,7,0.1092436974789916,1,0,8.023360906937263,-1.1481795048069432,1,0,0,0,0,0,0,0.09104145017541881,0.713689356850423,0.2002851476544104
41,5,2,4,0.088235294117647,1,0,6.758615647543506,-0.2753834081646507,1,0,0,0,0,0,0,0.09099552745477431,0.7155971607039883,0.17923082157242132
42,5,2,9,0.088235294117647,1,0,8.855701159914881,-0.6390484484322726,0,0,0,0,0,1,0,0.09089208644663892,0.7229920767393189,0.1791273805642859
44,5,2,11,0.088235294117647,1,1,4.679511268394886,-1.2209125128604676,0,0,1,0,0,0,0,0.08783788766401611,0.70483103111539,0.1760731817816631
45,5,2,1,0.1134453781512605,1,0,4.098179110519792,-0.4935824323252238,0,0,0,0,0,1,0,0.08884274027219623,0.7039507820378991,0.20228811842345673
46,5,2,2,0.0966386554621848,1,0,8.335456677720716,-0.4935824323252238,0,0,0,1,0,0,0,0.0921323152316879,0.7214038028383447,0.1887709706938727
47,5,2,10,0.0630252100840336,1,0,6.97071041469933,1.9066068334410808,0,0,0,1,0,0,0,0.09298134637232139,0.7358480637447307,0.15600655645635497
48,5,2,3,0.1008403361344537,1,0,7.589736496990862,0.597412688477642,0,0,0,1,0,0,0,0.09245932402645259,0.727404156168134,0.19329966016090627
49,5,2,8,0.0756302521008403,1,0,8.697518111839258,0.7428787045846906,0,0,0,0,0,0,1,0.09013393435108036,0.7309901637098292,0.16576418645192065
38,5,3,5,0.0962343096234309,1,0,5.456232490822838,-0.0571843840040775,1,0,0,0,0,0,0,0.0992551225059953,0.7118734706993409,0.1954894321294262
39,5,3,6,0.1129707112970711,1,0,7.237541648307627,1.2520097609593617,1,0,0,0,0,0,0,0.1010200100990784,0.7305307480829897,0.2139907213961495
40,5,3,7,0.1129707112970711,1,0,8.023360906937263,-1.1481795048069432,1,0,0,0,0,0,0,0.09980841008871547,0.713689356850423,0.21277912138578658
41,5,3,4,0.108786610878661,1,0,6.758615647543506,-0.2753834081646507,1,0,0,0,0,0,0,0.09975806517740697,0.7155971607039883,0.20854467605606797
42,5,3,9,0.0878661087866108,1,0,8.855701159914881,-0.6390484484322726,0,0,0,0,0,1,0,0.09964466317710849,0.7229920767393189,0.1875107719637193
45,5,3,1,0.100418410041841,1,0,4.098179110519792,-0.4935824323252238,0,0,0,0,0,1,0,0.09739797243351418,0.7039507820378991,0.19781638247535518
46,5,3,2,0.1129707112970711,1,0,8.335456677720716,-0.4935824323252238,0,0,0,1,0,0,0,0.10100432147498807,0.7214038028383447,0.21397503277205918
47,5,3,10,0.0753138075313807,1,1,6.97071041469933,1.9066068334410808,0,0,0,1,0,0,0,0.10193511122074848,0.7358480637447307,0.17724891875212917
48,5,3,3,0.108786610878661,1,0,7.589736496990862,0.597412688477642,0,0,0,1,0,0,0,0.10136282002512761,0.727404156168134,0.21014943090378863
49,5,3,8,0.0836820083682008,1,0,8.697518111839258,0.7428787045846906,0,0,0,0,0,0,1,0.0988135037973169,0.7309901637098292,0.1824955121655177
38,5,4,5,0.1153846153846153,1,0,5.456232490822838,-0.0571843840040775,1,0,0,0,0,0,0,0.1105211034816357,0.7118734706993409,0.225905718866251
39,5,4,6,0.1111111111111111,1,0,7.237541648307627,1.2520097609593617,1,0,0,0,0,0,0,0.11248631514410491,0.7305307480829897,0.223597426255216
