index,celebrity_industry,celebrity_age_during_season,placement,season,1,2,3,4,5,6,7,8,9,10,11,weeks,elimination_order,score_sum
12,News Anchor,44,8,2,0.11794871794871796,0.12,0.12087912087912088,,,,,,,,,3,3.0,0.35882783882783886
13,Singer/Rapper,35,7,2,0.06153846153846154,0.07999999999999999,0.07692307692307693,0.05063291139240506,,,,,,,,4,4.0,0.2690944498539435
14,Singer/Rapper,29,1,2,0.12307692307692308,0.13499999999999998,0.14835164835164835,0.17721518987341775,0.17880794701986755,0.22556390977443608,0.2696078431372549,0.3438729131809768,,,,8,10.0,1.6014963744145245
15,Sports Broadcaster,46,10,2,0.06666666666666667,,,,,,,,,,,1,1.0,0.06666666666666667
16,Actor/Actress,54,9,3,0.08018867924528301,0.09130434782608696,0.10628019323671498,,,,,,,,,3,3.0,0.27777322030808493
17,Actor/Actress,42,8,3,0.10377358490566037,0.10434782608695652,0.13043478260869565,0.12121212121212122,,,,,,,,4,4.0,0.4597683148134338
18,Actor/Actress,25,4,3,0.08962264150943396,0.11304347826086955,0.13043478260869565,0.12121212121212122,0.14917127071823205,0.19491525423728814,0.2,0.24311926605504589,,,,8,8.0,1.2415188146016864
19,Actor/Actress,30,3,3,0.0990566037735849,0.12608695652173912,0.10628019323671498,0.13636363636363635,0.13812154696132597,0.20338983050847456,0.2111111111111111,0.2477064220183486,0.33333333333333337,,,9,9.0,1.601449633828269
20,Actor/Actress,32,2,3,0.12264150943396225,0.09130434782608696,0.10628019323671498,0.14646464646464646,0.14917127071823205,0.23728813559322035,0.20740740740740743,0.26146788990825687,0.33333333333333337,0.5,,10,10.0,2.1553587339218607
21,Athlete,37,1,3,0.11320754716981131,0.10434782608695652,0.09178743961352656,0.12121212121212122,0.14917127071823205,0.211864406779661,0.2111111111111111,0.2477064220183486,0.33333333333333337,0.5,,10,11.0,2.083741478043102
22,Model,31,10,3,0.08490566037735849,0.09565217391304347,,,,,,,,,,2,2.0,0.18055783429040195
23,Singer/Rapper,25,7,3,0.10377358490566037,0.09999999999999999,0.10628019323671498,0.14141414141414144,0.14917127071823205,,,,,,,5,5.0,0.6006391902747488
24,Singer/Rapper,35,6,3,0.07075471698113207,0.09130434782608696,0.12077294685990339,0.10101010101010101,0.13259668508287292,,,,,,,5,6.0,0.5164387977600964
25,TV Personality,62,5,3,0.07547169811320754,0.08260869565217391,0.10144927536231885,0.1111111111111111,0.13259668508287292,0.15254237288135591,0.17037037037037037,,,,,7,7.0,0.8261502085734106
26,TV Personality,37,11,3,0.056603773584905655,,,,,,,,,,,1,1.0,0.056603773584905655
27,Actor/Actress,59,6,4,0.0825242718446602,0.08571428571428573,0.09174311926605504,0.08421052631578947,0.10227272727272727,0.11176470588235293,0.14563106796116504,,,,,7,6.0,0.7038607042570357
28,Actor/Actress,42,4,4,0.10194174757281553,0.08979591836734695,0.11009174311926605,0.12631578947368421,0.13636363636363635,0.1411764705882353,0.17475728155339806,0.18725099601593628,0.24472573839662445,,,9,8.0,1.3124193214509432
29,Athlete,44,8,4,0.07766990291262135,0.07346938775510205,0.07339449541284403,0.07894736842105263,0.07386363636363635,,,,,,,5,4.0,0.3773447908652564
30,Athlete,29,3,4,0.1116504854368932,0.11020408163265308,0.09633027522935779,0.11052631578947368,0.1590909090909091,0.16470588235294117,0.19093851132686085,0.2111553784860558,0.25316455696202533,0.32818543104656517,,10,9.0,1.7359518273537353
31,Athlete,24,1,4,0.10194174757281553,0.10612244897959185,0.1055045871559633,0.13684210526315788,0.17045454545454544,0.16470588235294117,0.17475728155339806,0.2310756972111554,0.2489451476793249,0.3397685007685367,,10,11.0,1.7801179439914303
32,Beauty Pagent,28,10,4,0.09223300970873785,0.0816326530612245,0.09633027522935779,,,,,,,,,3,2.0,0.2701959379993201
33,Model,41,11,4,0.09223300970873785,0.08571428571428573,,,,,,,,,,2,1.0,0.17794729542302357
34,Model,39,7,4,0.08737864077669902,0.0979591836734694,0.11009174311926605,0.12105263157894737,0.11931818181818181,0.13529411764705881,,,,,,6,5.0,0.6710944986136225
35,Singer/Rapper,45,5,4,0.06310679611650484,0.08571428571428573,0.09633027522935779,0.11052631578947368,0.09659090909090909,0.12352941176470587,0.12297734627831715,0.15139442231075698,,,,8,7.0,0.8501697622943112
36,Singer/Rapper,30,2,4,0.11650485436893203,0.0979591836734694,0.11009174311926605,0.1473684210526316,0.14204545454545453,0.1588235294117647,0.19093851132686085,0.21912350597609562,0.25316455696202533,0.33204606818489824,,10,10.0,1.7680658286213984
37,TV Personality,50,9,4,0.07281553398058252,0.08571428571428573,0.11009174311926605,0.08421052631578947,,,,,,,,4,3.0,0.35283208912992375
38,Actor/Actress,38,5,5,0.08171206225680934,0.08823529411764706,0.09623430962343096,0.11538461538461539,0.1306532663316583,0.1388888888888889,0.16346153846153846,0.19391634980988592,,,,8,8.0,1.0084863248744742
39,Actor/Actress,56,6,5,0.0933852140077821,0.08823529411764706,0.11297071129707112,0.1111111111111111,0.1306532663316583,0.12222222222222222,0.16025641025641027,,,,,7,7.0,0.8188342293439022
40,Actor/Actress,23,7,5,0.10116731517509726,0.1092436974789916,0.11297071129707112,0.1282051282051282,0.14070351758793972,0.1388888888888889,,,,,,6,6.0,0.7311792586331167
41,Actor/Actress,35,4,5,0.08171206225680934,0.08823529411764706,0.10878661087866108,0.11538461538461539,0.1256281407035176,0.15,0.16987179487179488,0.19011406844106465,0.24786324786324784,,,9,9.0,1.277595834517358
42,Athlete,30,9,5,0.07003891050583658,0.08823529411764706,0.08786610878661087,0.09829059829059829,,,,,,,,4,4.0,0.3444309117006928
43,Model,29,12,5,0.062256809338521395,,,,,,,,,,,1,1.0,0.062256809338521395
44,Model,22,11,5,0.08171206225680934,0.08823529411764706,,,,,,,,,,2,2.0,0.1699473563744564
45,Racing Driver,32,1,5,0.09727626459143969,0.11344537815126052,0.100418410041841,0.11538461538461539,0.1155778894472362,0.15555555555555556,0.16666666666666666,0.21673003802281368,0.2564102564102564,0.35294095402801606,,10,12.0,1.690406028299701
46,Singer/Rapper,32,2,5,0.0933852140077821,0.09663865546218488,0.11297071129707112,0.1111111111111111,0.1457286432160804,0.16666666666666666,0.17307692307692307,0.21292775665399238,0.2564102564102564,0.3571422268889026,,10,11.0,1.7260581647909707
47,Singer/Rapper,65,10,5,0.07392996108949415,0.06302521008403361,0.07531380753138076,,,,,,,,,3,3.0,0.21226897870490852
48,Singer/Rapper,47,3,5,0.08171206225680934,0.10084033613445378,0.10878661087866108,0.1111111111111111,0.10552763819095479,0.1277777777777778,0.16666666666666666,0.18631178707224333,0.23931623931623933,0.28991681908308137,,10,10.0,1.5179670484879986
49,TV Personality,49,8,5,0.08171206225680934,0.07563025210084034,0.08368200836820083,0.09401709401709402,0.10552763819095479,,,,,,,5,5.0,0.4405690549338993
50,Actor/Actress,34,3,6,0.08641975308641975,0.07782101167315175,0.10964912280701755,0.11555555555555555,0.11734693877551022,0.15,0.1488673139158576,0.21348314606741572,0.2545454545454546,0.3076923076923077,,10,10.0,1.5813806041186904
51,Actor/Actress,49,10,6,0.07407407407407407,0.062256809338521395,0.09210526315789473,,,,,,,,,3,3.0,0.22843614657049022
52,Actor/Actress,62,8,6,0.09876543209876543,0.08171206225680934,0.11403508771929824,0.09777777777777777,0.10714285714285715,,,,,,,5,5.0,0.4994332169955079
53,Actor/Actress,42,7,6,0.0905349794238683,0.0933852140077821,0.09210526315789473,0.10666666666666667,0.11224489795918367,0.11666666666666667,,,,,,6,6.0,0.6116036878820621
54,Actor/Actress,34,6,6,0.08641975308641975,0.0933852140077821,0.10526315789473684,0.12444444444444445,0.11734693877551022,0.13333333333333333,0.1650485436893204,,,,,7,7.0,0.8252413852315472
55,Actor/Actress,35,4,6,0.07407407407407407,0.08171206225680934,0.08333333333333333,0.10666666666666667,0.12244897959183675,0.14444444444444443,0.16828478964401294,0.18726591760299627,0.23636363636363636,,,9,9.0,1.2045939039778102
56,Athlete,33,2,6,0.0905349794238683,0.10505836575875485,0.10087719298245615,0.1288888888888889,0.13775510204081634,0.13333333333333333,0.1779935275080906,0.19475655430711608,0.25,0.33727810650887574,,10,11.0,1.6564760507522003
57,Athlete,36,1,6,0.1111111111111111,0.10505836575875485,0.11842105263157894,0.1288888888888889,0.14795918367346939,0.16666666666666666,0.17475728155339806,0.20599250936329586,0.2590909090909091,0.3550295857988166,,10,12.0,1.7729755545368893
58,Athlete,34,11,6,0.06172839506172839,0.05836575875486381,,,,,,,,,,2,2.0,0.12009415381659219
59,Magician,53,12,6,0.06584362139917695,0.06614785992217899,,,,,,,,,,2,1.0,0.13199148132135594
60,Radio Personality,43,9,6,0.06172839506172839,0.07392996108949415,0.09210526315789473,0.08444444444444445,,,,,,,,4,4.0,0.3122080637535617
61,Singer/Rapper,21,5,6,0.09876543209876543,0.10116731517509726,0.09210526315789473,0.10666666666666667,0.13775510204081634,0.15555555555555556,0.1650485436893204,0.19850187265917604,,,,8,8.0,1.0555657510432925
62,Actor/Actress,50,12,7,0.07341269841269842,,,,,,,,,,,1,2.0,0.07341269841269842
63,Actor/Actress,82,7,7,0.06349206349206349,0.06787330316742081,0.08040201005025126,0.1083743842364532,0.1076923076923077,0.09375,,,,,,6,7.0,0.5215840686384965
64,Actor/Actress,61,6,7,0.07341269841269842,0.09502262443438914,0.10552763819095479,0.11822660098522167,0.11282051282051282,0.14375,0.16326530612244897,,,,,7,8.0,0.8120253809662258
65,Actor/Actress,18,4,7,0.08134920634920635,0.09502262443438914,0.10552763819095479,0.11330049261083744,0.1435897435897436,0.14375,0.14965986394557823,0.18823529411764706,0.22885572139303484,,,9,10.0,1.2492905846313915
66,Athlete,31,10,7,0.08333333333333333,0.09502262443438914,,,,,,,,,,2,4.0,0.17835595776772245
67,Athlete,34,5,7,0.07738095238095238,0.08597285067873302,0.1206030150753769,0.09852216748768472,0.13846153846153847,0.13125,0.17006802721088438,0.18823529411764706,,,,8,9.0,1.010493845412817
68,Athlete,35,2,7,0.08531746031746032,0.10859728506787329,0.1256281407035176,0.1083743842364532,0.12820512820512822,0.15625,0.14285714285714285,0.21176470588235294,0.24378109452736316,0.3235294117647059,,10,12.0,1.6343047535619972
69,Comedian,43,13,7,0.047619047619047616,,,,,,,,,,,1,1.0,0.047619047619047616
70,Singer/Rapper,40,8,7,0.08928571428571429,0.10407239819004524,0.11055276381909548,0.1083743842364532,0.11282051282051282,,,,,,,5,6.0,0.5251057733518211
71,Singer/Rapper,29,3,7,0.08531746031746032,0.09049773755656108,0.11055276381909548,0.12807881773399013,0.1076923076923077,0.16874999999999998,0.17006802721088438,0.19607843137254904,0.2835820895522388,0.3235294117647059,,10,11.0,1.6641470470197928
72,TV Personality,27,11,7,0.07341269841269842,0.07692307692307693,,,,,,,,,,2,3.0,0.15033577533577536
73,TV Personality,41,9,7,0.06944444444444445,0.07239819004524886,0.10050251256281408,0.08866995073891625,,,,,,,,4,5.0,0.33101509779142363
74,TV Personality,37,1,7,0.09722222222222221,0.10859728506787329,0.14070351758793972,0.12807881773399013,0.14871794871794872,0.16249999999999998,0.20408163265306123,0.2156862745098039,0.24378109452736316,0.35294117647058826,,10,13.0,1.8023099694907907
75,Actor/Actress,33,2,8,0.09876543209876543,0.1018867924528302,0.10629921259842519,0.12396694214876032,0.13809523809523808,0.13978494623655913,0.14835164835164835,0.17628205128205127,0.20973782771535582,0.273972602739726,0.33142857142857146,11,12.0,1.8485712651479311
76,Actor/Actress,38,12,8,0.07407407407407407,0.07924528301886793,0.06299212598425197,,,,,,,,,3,2.0,0.21631148307719397
77,Actor/Actress,52,9,8,0.07818930041152262,0.06415094339622643,0.09448818897637795,0.0909090909090909,0.10476190476190476,,,,,,,5,5.0,0.4324994284551227
78,Athlete,50,7,8,0.06584362139917695,0.07547169811320756,0.07874015748031496,0.07851239669421486,0.09523809523809525,0.11827956989247311,0.11538461538461539,,,,,7,7.0,0.6274701542020982
79,Athlete,39,4,8,0.05761316872427984,0.07547169811320756,0.0905511811023622,0.10330578512396695,0.1,0.0967741935483871,0.13186813186813187,0.16666666666666666,0.17228464419475656,0.2191780821917808,,10,10.0,1.2137135515335395
80,Athlete,17,1,8,0.09465020576131687,0.09056603773584906,0.10629921259842519,0.10330578512396695,0.1238095238095238,0.13978494623655913,0.15384615384615385,0.16666666666666666,0.20973782771535582,0.25570776255707767,0.34285714285714286,11,13.0,1.787231264908038
81,Entrepreneur,58,10,8,0.053497942386831275,0.06415094339622643,0.03937007874015748,0.04958677685950413,,,,,,,,4,4.0,0.2066057413827193
82,Singer/Rapper,50,13,8,0.06995884773662552,0.06792452830188679,,,,,,,,,,2,1.0,0.1378833760385123
83,Singer/Rapper,29,6,8,0.0823045267489712,0.07547169811320756,0.0905511811023622,0.0909090909090909,0.10952380952380952,0.12365591397849462,0.14835164835164835,0.16346153846153846,,,,8,8.0,0.8842294071891228
84,Singer/Rapper,34,5,8,0.08641975308641975,0.08679245283018869,0.0984251968503937,0.11157024793388429,0.1238095238095238,0.15053763440860216,0.14285714285714285,0.1794871794871795,0.19475655430711608,,,9,9.0,1.1746556855704509
85,TV Personality,34,8,8,0.06995884773662552,0.05283018867924529,0.05905511811023622,0.06198347107438016,0.08571428571428572,0.08602150537634408,,,,,,6,6.0,0.41556341669111696
86,TV Personality,30,11,8,0.07407407407407407,0.06792452830188679,0.06692913385826772,0.06611570247933883,,,,,,,,4,3.0,0.2750434387135674
87,TV Personality,26,3,8,0.09465020576131687,0.0981132075471698,0.10629921259842519,0.11983471074380164,0.11904761904761905,0.14516129032258066,0.15934065934065933,0.14743589743589744,0.21348314606741572,0.2511415525114155,0.32571428571428573,11,11.0,1.780221787090587
88,Actor/Actress,34,16,9,0.04679796767671991,,,,,,,,,,,1,1.0,0.04679796767671991
89,Actor/Actress,45,12,9,0.05418740566465287,0.07142857142857142,0.06589147286821706,,,,,,,,,3,5.0,0.19150744996144137
90,Actor/Actress,33,9,9,0.059113533452348585,0.06462585034013606,0.07364341085271317,0.11570247933884298,0.09504132231404959,0.09230762721870961,,,,,,6,8.0,0.5004342235168
91,Actor/Actress,45,6,9,0.07142836030880911,0.07142857142857142,0.06976744186046512,0.0909090909090909,0.10743801652892561,0.12307734911390078,0.1225071225071225,,,,,7,11.0,0.6565559526568854
92,Athlete,39,11,9,0.05418740566465287,0.06462585034013606,0.06589147286821706,0.07024793388429752,,,,,,,,4,6.0,0.2549526627573035
93,Athlete,27,10,9,0.06650223252111338,0.07142857142857142,0.10077519379844961,0.09917355371900825,0.0909090909090909,,,,,,,5,7.0,0.42878864237623354
94,Athlete,21,8,9,0.06650223252111338,0.06462585034013606,0.07751937984496124,0.06611570247933883,0.0909090909090909,0.09230801183542559,,,,,,6,9.0,0.45798026793006597
95,Athlete,43,7,9,0.046798213983109294,0.06802721088435375,0.054263565891472874,0.06611570247933883,0.08677685950413222,0.08461490828237483,0.1339031339031339,,,,,7,10.0,0.5404995949279157
96,Model,30,4,9,0.08374392608443777,0.06802721088435375,0.08914728682170543,0.10743801652892561,0.09917355371900825,0.1384616331364224,0.15669515669515668,0.19847328244274806,0.25312587012017856,,,9,13.0,1.1942859364329366
97,Model,46,14,9,0.04926103157056777,0.061224489795918366,,,,,,,,,,2,3.0,0.11048552136648614
98,Politician,62,13,9,0.04926103157056777,0.061224489795918366,0.05813953488372093,,,,,,,,,3,4.0,0.16862505625020707
99,Singer/Rapper,42,15,9,0.04679796767671991,,,,,,,,,,,1,2.0,0.04679796767671991
100,Singer/Rapper,21,5,9,0.07881779829674204,0.09183673469387756,0.08139534883720931,0.0743801652892562,0.09917355371900825,0.12692274704027823,0.150997150997151,0.19083969465648853,,,,8,12.0,0.8943631935300111
101,Singer/Rapper,29,2,9,0.0763547344028942,0.09183673469387756,0.10465116279069768,0.11570247933884298,0.11157024793388429,0.12692351627371018,0.1396011396011396,0.22519083969465647,0.27187499707030244,0.3432030932030932,,10,15.0,1.6069089450030987
102,Singer/Rapper,51,1,9,0.07389167050904634,0.08503401360544219,0.08139534883720931,0.09917355371900825,0.11983471074380164,0.1192307973373754,0.14814814814814814,0.19083969465648853,0.23125016992245914,0.35127769056340485,,10,16.0,1.5000757980423836
103,TV Personality,24,3,9,0.07635448809650482,0.06462585034013606,0.07751937984496124,0.09504132231404959,0.09917355371900825,0.09615340976180303,0.14814814814814814,0.1946564885496183,0.24374896288705994,0.305519216233502,,10,14.0,1.4009408198947915
104,Actor/Actress,32,9,10,0.07177033492822966,0.08636363636363636,0.09852216748768472,0.0889487870619946,,,,,,,,4,3.0,0.34560492584154534
105,Actor/Actress,38,11,10,0.08612440191387559,0.09090909090909093,,,,,,,,,,2,1.0,0.17703349282296652
106,Actor/Actress,40,5,10,0.08612440191387559,0.09545454545454546,0.10344827586206896,0.09703504043126684,0.10404624277456648,0.12440137359311731,0.15755627009646303,0.16996047430830039,,,,8,7.0,0.938026624434204
107,Astronaut,80,10,10,0.06698564593301436,0.05454545454545455,0.06403940886699507,,,,,,,,,3,2.0,0.18557050934546399
108,Athlete,32,4,10,0.08612440191387559,0.07272727272727272,0.09852216748768472,0.11859838274932613,0.10404624277456648,0.148325377166335,0.16720257234726688,0.17786561264822132,0.2300884955752212,,,9,8.0,1.2035005253897701
109,Athlete,24,2,10,0.11004784688995214,0.1090909090909091,0.12807881773399013,0.14016172506738542,0.15606936416184972,0.12918703555466454,0.17363344051446947,0.20948616600790512,0.26106194690265483,0.325268368450467,,10,10.0,1.7420856203742474
110,Model,42,6,10,0.10047846889952153,0.1,0.10344827586206896,0.12668463611859837,0.12138728323699423,0.14354019367528983,0.16398713826366562,,,,,7,6.0,0.8595259960561386
111,Singer/Rapper,31,1,10,0.11961722488038277,0.1272727272727273,0.11330049261083744,0.13477088948787064,0.1676300578034682,0.17224890226905065,0.17363344051446947,0.23320158102766797,0.26106194690265483,0.34811930389929624,,10,11.0,1.8508565666684256
112,Sports Broadcaster,32,3,10,0.10047846889952153,0.10454545454545455,0.11330049261083744,0.10512129380053908,0.12716763005780346,0.16267997069846646,0.16398713826366562,0.20948616600790512,0.24778761061946902,0.32661232765023673,,10,9.0,1.6611665531538988
113,TV Personality,35,8,10,0.07655502392344497,0.06818181818181819,0.07389162561576354,0.08625336927223719,0.08670520231213873,,,,,,,5,4.0,0.3915870393054026
114,TV Personality,32,7,10,0.09569377990430622,0.09090909090909093,0.10344827586206896,0.10242587601078167,0.13294797687861273,0.11961714704307622,,,,,,6,5.0,0.6450421466079368
115,Actor/Actress,58,12,11,0.06607929515418502,,,,,,,,,,,1,1.0,0.06607929515418502
116,Actor/Actress,76,8,11,0.07929515418502202,0.08597285067873302,0.09049773755656108,0.09776536312849161,0.11538461538461539,,,,,,,5,5.0,0.46891572093342315
117,Actor/Actress,19,2,11,0.1013215859030837,0.09954751131221719,0.10407239819004524,0.111731843575419,0.1098901098901099,0.14492754323323798,0.1606714628297362,0.21132075471698117,0.25438596491228066,0.3293164561842317,,10,11.0,1.6271856307473427
118,Actor/Actress,50,1,11,0.10572687224669602,0.10859728506787329,0.10859728506787329,0.15642458100558662,0.13736263736263737,0.14009709211577046,0.1750599520383693,0.21509433962264152,0.2631578947368421,0.36144665408832305,,10,12.0,1.771564593352613
119,Athlete,41,6,11,0.09691629955947136,0.09502262443438914,0.10859728506787329,0.10893854748603353,0.13186813186813187,0.1449280263266591,0.16546762589928057,,,,,7,7.0,0.8517385406418388
120,Athlete,39,5,11,0.08370044052863435,0.09502262443438914,0.10407239819004524,0.09497206703910616,0.13186813186813187,0.10628006954612891,0.16786570743405277,0.18113207547169813,,,,8,8.0,0.9649135145121867
121,Comedian,41,10,11,0.06607929515418502,0.08144796380090497,0.08144796380090497,,,,,,,,,3,3.0,0.22897522275599497
122,Singer/Rapper,57,11,11,0.07048458149779735,0.054298642533936646,,,,,,,,,,2,2.0,0.124783224031734
123,Singer/Rapper,31,4,11,0.1013215859030837,0.09502262443438914,0.10859728506787329,0.1340782122905028,0.14835164835164835,0.17391314849856981,0.1750599520383693,0.21509433962264152,0.25,,,9,9.0,1.4014387962070778
124,TV Personality,28,9,11,0.06607929515418502,0.08144796380090497,0.09049773755656108,0.07821229050279331,,,,,,,,4,4.0,0.3162372870144444
125,TV Personality,25,7,11,0.08370044052863435,0.10407239819004524,0.1176470588235294,0.12849162011173185,0.1263736263736264,0.1545889285615942,,,,,,6,6.0,0.7148740725891615
126,TV Personality,19,3,11,0.07929515418502202,0.09954751131221719,0.08597285067873302,0.0893854748603352,0.09890109890109891,0.13526519171803963,0.15587529976019185,0.17735849056603775,0.23245614035087722,0.3092368897274452,,10,10.0,1.4632941020599979
127,Actor/Actress,49,4,12,0.11594202898550725,0.09722222222222222,0.09813084112149534,0.12135922330097088,0.11340206185567012,0.13333333333333333,0.17506631299734748,0.17692307692307693,0.2042553191489362,,,9,8.0,1.2356344198885598
128,Actor/Actress,22,3,12,0.10144927536231885,0.08333333333333333,0.1074766355140187,0.12621359223300968,0.13402061855670105,0.15555555555555556,0.16976127320954906,0.2115384615384615,0.31063829787234043,0.33969480071129965,,10,9.0,1.7396818438865878
129,Actor/Actress,60,2,12,0.11111111111111112,0.0925925925925926,0.09813084112149534,0.10679611650485436,0.11855670103092786,0.14444444444444443,0.15915119363395225,0.20384615384615384,0.22978723404255322,0.32061039857740076,,10,10.0,1.5850267869054857
130,Athlete,35,1,12,0.10144927536231885,0.10648148148148148,0.11682242990654207,0.12135922330097088,0.1391752577319588,0.15,0.17506631299734748,0.20769230769230768,0.25531914893617025,0.33969480071129965,,10,11.0,1.7130602381203972
131,Athlete,54,9,12,0.0821256038647343,0.0787037037037037,0.09345794392523366,0.10194174757281553,,,,,,,,4,3.0,0.3562289990664872
132,Athlete,40,7,12,0.09178743961352656,0.10648148148148148,0.09813084112149534,0.1116504854368932,0.13402061855670105,0.12222222222222222,,,,,,6,5.0,0.6642930884323199
133,Model,31,8,12,0.08695652173913043,0.08333333333333333,0.11682242990654207,0.1116504854368932,0.11340206185567012,,,,,,,5,4.0,0.5121648322715692
134,Radio Personality,32,11,12,0.06280193236714976,0.0787037037037037,,,,,,,,,,2,1.0,0.14150563607085348
135,Singer/Rapper,21,5,12,0.09178743961352656,0.10648148148148148,0.09345794392523366,0.1116504854368932,0.13402061855670105,0.15555555555555556,0.15915119363395225,0.19999999999999998,,,,8,7.0,1.0521047182033438
136,TV Personality,46,10,12,0.0676328502415459,0.0787037037037037,0.07009345794392524,,,,,,,,,3,2.0,0.21643001188917485
137,TV Personality,25,6,12,0.08695652173913043,0.08796296296296297,0.1074766355140187,0.08737864077669902,0.11340206185567012,0.1388888888888889,0.16180371352785147,,,,,7,6.0,0.7838694252652216
138,Actor/Actress,33,11,13,0.06912442396313365,0.09417040358744395,,,,,,,,,,2,2.0,0.16329482755057761
139,Actor/Actress,40,6,13,0.08294930875576037,0.08071748878923768,0.10126582278481013,0.11004784688995214,0.13297872340425532,0.13855421686746988,0.16040955631399317,,,,,7,7.0,0.8069229638054787
140,Actor/Actress,42,3,13,0.09216589861751152,0.1031390134529148,0.11392405063291139,0.138755980861244,0.1276595744680851,0.17469879518072287,0.1808873720136519,0.20077220077220076,0.2827007708893286,0.3313613318879616,,10,10.0,1.7460649887765325
141,Actor/Actress,28,1,13,0.10138248847926268,0.09865470852017938,0.10970464135021096,0.12440191387559807,0.14893617021276595,0.17469879518072287,0.16382252559726965,0.23166023166023167,0.2362879168266533,0.3333329388541484,,10,12.0,1.722882330557043
142,Athlete,31,12,13,0.06451612903225808,,,,,,,,,,,1,1.0,0.06451612903225808
143,Athlete,30,4,13,0.09677419354838711,0.08520179372197309,0.10126582278481013,0.11483253588516745,0.1276595744680851,0.12048192771084337,0.17064846416382257,0.20077220077220076,0.20675023945248716,,,9,9.0,1.2243867525077767
144,Singer/Rapper,43,9,13,0.10138248847926268,0.09417040358744395,0.10970464135021096,0.10047846889952153,,,,,,,,4,4.0,0.40573600231643914
145,TV Personality,24,10,13,0.08755760368663594,0.09865470852017938,0.10126582278481013,,,,,,,,,3,3.0,0.28747813499162544
146,TV Personality,41,8,13,0.0783410138248848,0.08071748878923768,0.09704641350210971,0.09569377990430622,0.10106382978723404,,,,,,,5,5.0,0.4528625258077724
147,TV Personality,42,7,13,0.0783410138248848,0.07623318385650225,0.0759493670886076,0.10047846889952153,0.11170212765957446,0.1144578313253012,,,,,,6,6.0,0.5571619926543918
148,TV Personality,51,5,13,0.07373271889400922,0.09417040358744395,0.08860759493670886,0.10047846889952153,0.11702127659574467,0.14457831325301204,0.15017064846416384,0.16988416988416988,,,,8,8.0,0.938643594514774
149,TV Personality,24,2,13,0.07373271889400922,0.09417040358744395,0.10126582278481013,0.11483253588516745,0.13297872340425532,0.1325301204819277,0.17406143344709898,0.19691119691119693,0.27426107283153095,0.33530572925789,,10,11.0,1.6300497574853305
150,Actor/Actress,31,3,14,0.08888888888888889,0.0929368029739777,0.1,0.0944206008583691,0.12946428571428573,0.13953526230497526,0.1444141689373297,0.1743119266055046,0.25217391304347825,0.33208930162582334,,10,10.0,1.5482351509526324
151,Actor/Actress,52,11,14,0.08518518518518518,0.07806691449814127,0.08571428571428572,,,,,,,,,3,2.0,0.24896638539761215
152,Actor/Actress,44,10,14,0.08518518518518518,0.08550185873605948,0.08571428571428572,0.09012875536480688,,,,,,,,4,3.0,0.3465300850003373
153,Actor/Actress,35,7,14,0.0962962962962963,0.08178438661710036,0.0892857142857143,0.0944206008583691,0.10714285714285715,0.1434104666175451,0.13896457765667575,,,,,7,6.0,0.7513048994745581
154,Actor/Actress,20,6,14,0.08518518518518518,0.0966542750929368,0.0892857142857143,0.11158798283261803,0.11607142857142858,0.10852665104130128,0.1416893732970027,0.17125382262996944,,,,8,7.0,0.9202544329361563
