index,celebrity_age_during_season,1,2,3,4,5,6,7,8,9,10,11,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media,fame_1,fame_1.1,fame_1.2,fame_1.3,fame_1.4
14,29,0.123076923076923,0.1349999999999999,0.1483516483516483,0.1772151898734177,0.1788079470198675,0.225563909774436,0.2696078431372549,0.3438729131809768,,,,0,0,0,1,0,0,0,107,170.73484139522105,272.43351463786223,434.7092795554957,693.6450457751242
15,46,0.0666666666666666,,,,,,,,,,,0,0,0,0,0,0,1,74,113.80330944684268,175.01612487910566,269.1542461865422,413.9276211851177
16,54,0.080188679245283,0.0913043478260869,0.1062801932367149,,,,,,,,,1,0,0,0,0,0,0,79,122.28967770665166,189.3008262480598,293.03211432250754,453.6050989645331
17,42,0.1037735849056603,0.1043478260869565,0.1304347826086956,0.1212121212121212,,,,,,,,1,0,0,0,0,0,0,157,260.3092600463528,431.59815838139906,715.5987085708954,1186.4775179504156
18,25,0.0896226415094339,0.1130434782608695,0.1304347826086956,0.1212121212121212,0.149171270718232,0.1949152542372881,0.2,0.2431192660550458,,,,1,0,0,0,0,0,0,427,782.4753454857504,1433.8821224661442,2627.5817544790098,4815.030307091369
19,30,0.0990566037735849,0.1260869565217391,0.1062801932367149,0.1363636363636363,0.1381215469613259,0.2033898305084745,0.2111111111111111,0.2477064220183486,0.3333333333333333,,,1,0,0,0,0,0,0,158,262.1336626162108,434.8990954214516,721.529700957608,1197.071032901246
20,32,0.1226415094339622,0.0913043478260869,0.1062801932367149,0.1464646464646464,0.149171270718232,0.2372881355932203,0.2074074074074074,0.2614678899082568,0.3333333333333333,0.5,,1,0,0,0,0,0,0,424,776.4302409499065,1421.801695899833,2603.608097477578,4767.735996376512
21,37,0.1132075471698113,0.1043478260869565,0.0917874396135265,0.1212121212121212,0.149171270718232,0.211864406779661,0.2111111111111111,0.2477064220183486,0.3333333333333333,0.5,,0,0,0,0,0,1,0,438,804.6768766838691,1478.321634405721,2715.916062803169,4989.577293954343
22,31,0.0849056603773584,0.0956521739130434,,,,,,,,,,0,0,1,0,0,0,0,228,392.39939733632775,675.338978201373,1162.2921405436412,2000.362874903836
23,25,0.1037735849056603,0.0999999999999999,0.1062801932367149,0.1414141414141414,0.149171270718232,,,,,,,0,0,0,1,0,0,0,897,1770.4011676284667,3494.225523233259,6896.522794079545,13611.607588868164
24,35,0.070754716981132,0.0913043478260869,0.1207729468599033,0.101010101010101,0.1325966850828729,,,,,,,0,0,0,1,0,0,0,544,1021.312834714325,1917.4262984415604,3599.801632752106,6758.315459476661
25,62,0.0754716981132075,0.0826086956521739,0.1014492753623188,0.1111111111111111,0.1325966850828729,0.1525423728813559,0.1703703703703703,,,,,0,0,0,0,0,0,1,431,790.5420892887222,1450.0157655150283,2659.625273252521,4878.296334668524
26,37,0.0566037735849056,,,,,,,,,,,0,0,0,0,0,0,1,999,1993.0676361947799,3976.294897344386,7932.957629493033,15826.747858505503
27,59,0.0825242718446602,0.0857142857142857,0.091743119266055,0.0842105263157894,0.1022727272727272,0.1117647058823529,0.145631067961165,,,,,1,0,0,0,0,0,0,359,646.5526460728714,1164.4298722669391,2097.1175907534403,3776.8716641437327
28,42,0.1019417475728155,0.0897959183673469,0.110091743119266,0.1263157894736842,0.1363636363636363,0.1411764705882353,0.174757281553398,0.1872509960159362,0.2447257383966244,,,1,0,0,0,0,0,0,145,238.5090169811638,392.32104262980016,645.3248704735096,1061.4882792422998
29,44,0.0776699029126213,0.073469387755102,0.073394495412844,0.0789473684210526,0.0738636363636363,,,,,,,0,0,0,0,0,1,0,236,407.5709327080969,703.8731575785926,1215.5857599258486,2099.3111099985517
30,29,0.1116504854368932,0.110204081632653,0.0963302752293577,0.1105263157894736,0.1590909090909091,0.1647058823529411,0.1909385113268608,0.2111553784860558,0.2531645569620253,0.3281854310465651,,0,0,0,0,0,1,0,277,486.1023783738601,853.0524269340186,1497.006547329314,2627.0701916896
31,24,0.1019417475728155,0.1061224489795918,0.1055045871559633,0.1368421052631578,0.1704545454545454,0.1647058823529411,0.174757281553398,0.2310756972111554,0.2489451476793249,0.3397685007685367,,0,0,0,0,0,1,0,218,373.5099219707152,639.9525771127045,1096.4616382675429,1878.6206465742755
32,28,0.0922330097087378,0.0816326530612245,0.0963302752293577,,,,,,,,,0,0,1,0,0,0,0,295,520.959806515326,919.9970169643578,1624.6829422116236,2869.133936350227
33,41,0.0922330097087378,0.0857142857142857,,,,,,,,,,0,0,1,0,0,0,0,330,589.3392062915007,1052.486969916047,1879.6116226741506,3356.754005585037
34,39,0.087378640776699,0.0979591836734694,0.110091743119266,0.1210526315789473,0.1193181818181818,0.1352941176470588,,,,,,0,0,1,0,0,0,0,1087,2187.018710207438,4400.230762463108,8853.161919721395,17812.35580766022
35,45,0.0631067961165048,0.0857142857142857,0.0963302752293577,0.1105263157894736,0.096590909090909,0.1235294117647058,0.1229773462783171,0.1513944223107569,,,,0,0,0,1,0,0,0,2199,4747.311750753082,10248.735270049228,22125.48493763632,47765.609202160544
36,30,0.116504854368932,0.0979591836734694,0.110091743119266,0.1473684210526316,0.1420454545454545,0.1588235294117647,0.1909385113268608,0.2191235059760956,0.2531645569620253,0.3320460681848982,,0,0,0,1,0,0,0,452,833.0139575722277,1535.2041006861598,2829.3062911364837,5214.273519388496
37,50,0.0728155339805825,0.0857142857142857,0.110091743119266,0.0842105263157894,,,,,,,,0,0,0,0,0,0,1,93,146.32928259906882,230.23934350492604,362.26621463609035,570.0016698664444
38,38,0.0817120622568093,0.088235294117647,0.0962343096234309,0.1153846153846153,0.1306532663316583,0.1388888888888889,0.1634615384615384,0.1939163498098859,,,,1,0,0,0,0,0,0,94,148.06098659843977,233.21335906918443,367.3382982097834,578.6007537056634
39,56,0.0933852140077821,0.088235294117647,0.1129707112970711,0.1111111111111111,0.1306532663316583,0.1222222222222222,0.1602564102564102,,,,,1,0,0,0,0,0,0,416,760.3309403180344,1389.671006742562,2539.92755598385,4642.272853319436
40,23,0.1011673151750972,0.1092436974789916,0.1129707112970711,0.1282051282051282,0.1407035175879397,0.1388888888888889,,,,,,1,0,0,0,0,0,0,801,1563.132409454076,3050.415642304246,5952.813424209036,11616.773521616013
41,35,0.0817120622568093,0.088235294117647,0.108786610878661,0.1153846153846153,0.1256281407035176,0.15,0.1698717948717948,0.1901140684410646,0.2478632478632478,,,1,0,0,0,0,0,0,279,489.96451004573066,860.448821162554,1511.0730648040765,2653.663705519817
42,30,0.0700389105058365,0.088235294117647,0.0878661087866108,0.0982905982905982,,,,,,,,0,0,0,0,0,1,0,1603,3352.948435965044,7013.264637704566,14669.441483468794,30683.64371707882
43,29,0.0622568093385213,,,,,,,,,,,0,0,1,0,0,0,0,461,851.2772317805615,1571.958623314479,2902.760488782499,5360.203716730482
44,22,0.0817120622568093,0.088235294117647,,,,,,,,,,0,0,1,0,0,0,0,49,72.31288491813308,106.7174147996562,157.49069663608591,232.42054329636488
45,32,0.0972762645914396,0.1134453781512605,0.100418410041841,0.1153846153846153,0.1155778894472362,0.1555555555555555,0.1666666666666666,0.2167300380228136,0.2564102564102564,0.352940954028016,,0,0,0,0,0,1,0,30,42.15347479450939,59.23051457504459,83.22573344016544,116.94179522748564
46,32,0.0933852140077821,0.0966386554621848,0.1129707112970711,0.1111111111111111,0.1457286432160804,0.1666666666666666,0.173076923076923,0.2129277566539923,0.2564102564102564,0.3571422268889026,,0,0,0,1,0,0,0,1039,2081.0240644392275,4168.105059456358,8348.341609085253,16720.98150785918
47,65,0.0739299610894941,0.0630252100840336,0.0753138075313807,,,,,,,,,0,0,0,1,0,0,0,333,595.2352698945144,1063.9790586378228,1901.8554418330207,3399.553865525008
48,47,0.0817120622568093,0.1008403361344537,0.108786610878661,0.1111111111111111,0.1055276381909547,0.1277777777777778,0.1666666666666666,0.1863117870722433,0.2393162393162393,0.2899168190830813,,0,0,0,1,0,0,0,558,1050.2619189032223,1976.7922908571277,3720.6983237790387,7003.060503928621
49,49,0.0817120622568093,0.0756302521008403,0.0836820083682008,0.094017094017094,0.1055276381909547,,,,,,,0,0,0,0,0,0,1,1405,2900.3069057518974,5987.032133489062,12358.883019015548,25512.13791276199
50,34,0.0864197530864197,0.0778210116731517,0.1096491228070175,0.1155555555555555,0.1173469387755102,0.15,0.1488673139158576,0.2134831460674157,0.2545454545454546,0.3076923076923077,,1,0,0,0,0,0,0,173,289.6347811475164,484.903505493466,811.8203508165523,1359.1410961841148
51,49,0.074074074074074,0.0622568093385213,0.0921052631578947,,,,,,,,,1,0,0,0,0,0,0,662,1267.487801721556,2426.7754192038374,4646.387071538639,8896.13132213287
52,62,0.0987654320987654,0.0817120622568093,0.1140350877192982,0.0977777777777777,0.1071428571428571,,,,,,,1,0,0,0,0,0,0,634,1208.6433967144847,2304.130694671175,4392.543137667941,8373.84583300611
53,42,0.0905349794238683,0.0933852140077821,0.0921052631578947,0.1066666666666666,0.1122448979591836,0.1166666666666666,,,,,,1,0,0,0,0,0,0,417,762.3416722566456,1393.680636112849,2547.867689990347,4657.903394426656
54,34,0.0864197530864197,0.0933852140077821,0.1052631578947368,0.1244444444444444,0.1173469387755102,0.1333333333333333,0.1650485436893204,,,,,1,0,0,0,0,0,0,780,1518.1128731073898,2954.7008916594496,5750.730076679607,11192.637639965571
55,35,0.074074074074074,0.0817120622568093,0.0833333333333333,0.1066666666666666,0.1224489795918367,0.1444444444444444,0.1682847896440129,0.1872659176029962,0.2363636363636363,,,1,0,0,0,0,0,0,223,382.94407054404513,657.6061038782173,1129.266180420335,1939.2187796317878
56,33,0.0905349794238683,0.1050583657587548,0.1008771929824561,0.1288888888888889,0.1377551020408163,0.1333333333333333,0.1779935275080906,0.194756554307116,0.25,0.3372781065088757,,0,0,0,0,0,1,0,650,1242.2376628991433,2374.0837094232666,4537.194151878288,8671.189937459903
57,36,0.1111111111111111,0.1050583657587548,0.1184210526315789,0.1288888888888889,0.1479591836734693,0.1666666666666666,0.174757281553398,0.2059925093632958,0.2590909090909091,0.3550295857988166,,0,0,0,0,0,1,0,643,1227.5298740220674,2343.4363788750084,4473.776303171336,8540.737265684
58,34,0.0617283950617283,0.0583657587548638,,,,,,,,,,0,0,0,0,0,1,0,1026,2052.4004294359647,4105.6018740242935,8212.806090975206,16428.817493169387
59,53,0.0658436213991769,0.0661478599221789,,,,,,,,,,1,0,0,0,0,0,0,729,1409.2897107552558,2724.4135649391355,5266.787386708875,10181.658810458668
60,43,0.0617283950617283,0.0739299610894941,0.0921052631578947,0.0844444444444444,,,,,,,,0,0,0,0,0,0,1,1307,2678.570899937734,5489.473654164675,11250.148726870968,23056.098699133952
61,21,0.0987654320987654,0.1011673151750972,0.0921052631578947,0.1066666666666666,0.1377551020408163,0.1555555555555555,0.1650485436893204,0.198501872659176,,,,0,0,0,1,0,0,0,1804,3818.2133038700963,8081.34857752249,17104.386170680737,36201.881835601314
62,50,0.0734126984126984,,,,,,,,,,,1,0,0,0,0,0,0,237,409.4710297005938,707.4536884559678,1222.286034926364,2111.775195400648
63,82,0.0634920634920634,0.0678733031674208,0.0804020100502512,0.1083743842364532,0.1076923076923077,0.09375,,,,,,1,0,0,0,0,0,0,555,1044.0523648855617,1964.0456587804188,3694.714441068319,6950.406035629206
64,61,0.0734126984126984,0.0950226244343891,0.1055276381909547,0.1182266009852216,0.1128205128205128,0.14375,0.1632653061224489,,,,,1,0,0,0,0,0,0,438,804.6768766838691,1478.321634405721,2715.916062803169,4989.577293954343
65,18,0.0813492063492063,0.0950226244343891,0.1055276381909547,0.1133004926108374,0.1435897435897436,0.14375,0.1496598639455782,0.188235294117647,0.2288557213930348,,,1,0,0,0,0,0,0,1832,3883.452667793481,8232.098593336397,17450.308539209167,36990.96465633793
66,31,0.0833333333333333,0.0950226244343891,,,,,,,,,,0,0,0,0,0,1,0,661,1265.381863308776,2422.377095296199,4637.264814648116,8877.323436937442
67,34,0.0773809523809523,0.085972850678733,0.1206030150753769,0.0985221674876847,0.1384615384615384,0.13125,0.1700680272108843,0.188235294117647,,,,0,0,0,0,0,1,0,349,626.7696660841233,1125.6166599518706,2021.496785377536,3630.4093557627657
68,35,0.0853174603174603,0.1085972850678732,0.1256281407035176,0.1083743842364532,0.1282051282051282,0.15625,0.1428571428571428,0.2117647058823529,0.2437810945273631,0.3235294117647059,,0,0,0,0,0,1,0,732,1415.6705225406047,2737.8729896043524,5294.9809915888,10240.366813121687
69,43,0.0476190476190476,,,,,,,,,,,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
70,40,0.0892857142857142,0.1040723981900452,0.1105527638190954,0.1083743842364532,0.1128205128205128,,,,,,,0,0,0,1,0,0,0,1944,4145.394688915344,8839.65901588864,18849.73021413961,40195.25283805622
71,29,0.0853174603174603,0.090497737556561,0.1105527638190954,0.1280788177339901,0.1076923076923077,0.1687499999999999,0.1700680272108843,0.196078431372549,0.2835820895522388,0.3235294117647059,,0,0,0,1,0,0,0,2675,5889.1981229465655,12965.478329464408,28544.400239620994,62842.477873574266
72,27,0.0734126984126984,0.0769230769230769,,,,,,,,,,0,0,0,0,0,0,1,2719,5995.841287220471,13221.814174894289,29156.270438318516,64294.36192550039
73,41,0.0694444444444444,0.0723981900452488,0.100502512562814,0.0886699507389162,,,,,,,,0,0,0,0,0,0,1,140,229.47788538288188,376.14357056999296,616.5473655340627,1010.5998977224518
74,37,0.0972222222222222,0.1085972850678732,0.1407035175879397,0.1280788177339901,0.1487179487179487,0.1624999999999999,0.2040816326530612,0.2156862745098039,0.2437810945273631,0.3529411764705882,,0,0,0,0,0,0,1,754,1462.542450706336,2836.9103715094066,5502.787595731551,10673.820233392093
75,33,0.0987654320987654,0.1018867924528302,0.1062992125984251,0.1239669421487603,0.138095238095238,0.1397849462365591,0.1483516483516483,0.1762820512820512,0.2097378277153558,0.273972602739726,0.3314285714285714,1,0,0,0,0,0,0,128,207.9366134671964,337.79402515786086,548.7480128185822,891.4437768152308
76,38,0.074074074074074,0.0792452830188679,0.0629921259842519,,,,,,,,,1,0,0,0,0,0,0,1215,2471.9171220879866,5029.114616026127,10231.732122055912,20816.455819858118
77,52,0.0781893004115226,0.0641509433962264,0.0944881889763779,0.0909090909090909,0.1047619047619047,,,,,,,1,0,0,0,0,0,0,419,766.3645818399291,1401.7056618107126,2563.7650915900426,4689.209456687848
78,50,0.0658436213991769,0.0754716981132075,0.0787401574803149,0.0785123966942148,0.0952380952380952,0.1182795698924731,0.1153846153846153,,,,,0,0,0,0,0,1,0,1911,4068.0544362893384,8659.898951655332,18434.81964840338,39243.24953055003
79,39,0.0576131687242798,0.0754716981132075,0.0905511811023622,0.1033057851239669,0.1,0.0967741935483871,0.1318681318681318,0.1666666666666666,0.1722846441947565,0.2191780821917808,,0,0,0,0,0,1,0,243,420.88834623923736,728.9999999999998,1262.665038717712,2186.999999999999
80,17,0.0946502057613168,0.090566037735849,0.1062992125984251,0.1033057851239669,0.1238095238095238,0.1397849462365591,0.1538461538461538,0.1666666666666666,0.2097378277153558,0.2557077625570776,0.3428571428571428,0,0,0,0,0,1,0,1293,2647.027037712969,5418.98850609705,11093.74253108639,22711.087725608613
81,58,0.0534979423868312,0.0641509433962264,0.0393700787401574,0.0495867768595041,,,,,,,,0,0,0,0,1,0,0,2458,5365.869007627938,11713.812126534573,25571.51401584547,55823.187361980636
82,50,0.0699588477366255,0.0679245283018867,,,,,,,,,,0,0,0,1,0,0,0,1185,2404.862140660372,4880.474190364201,9904.529627744261,20100.445842034685
83,29,0.0823045267489712,0.0754716981132075,0.0905511811023622,0.0909090909090909,0.1095238095238095,0.1236559139784946,0.1483516483516483,0.1634615384615384,,,,0,0,0,1,0,0,0,425,778.4448020585153,1425.8266114162827,2611.593680691087,4783.485943112563
84,34,0.0864197530864197,0.0867924528301886,0.0984251968503937,0.1115702479338842,0.1238095238095238,0.1505376344086021,0.1428571428571428,0.1794871794871795,0.194756554307116,,,0,0,0,1,0,0,0,4336,10018.396154754564,23147.661788192076,53483.03640460854,123573.39627779693
85,34,0.0699588477366255,0.0528301886792452,0.0590551181102362,0.0619834710743801,0.0857142857142857,0.086021505376344,,,,,,0,0,0,0,0,0,1,1684,3539.7802016914784,7440.643631999372,15640.286826836787,32875.996234211874
86,30,0.074074074074074,0.0679245283018867,0.0669291338582677,0.0661157024793388,,,,,,,,0,0,0,0,0,0,1,1205,2449.546858008038,4979.485319151072,10122.392214127518,20576.990907585936
87,26,0.0946502057613168,0.0981132075471698,0.1062992125984251,0.1198347107438016,0.119047619047619,0.1451612903225806,0.1593406593406593,0.1474358974358974,0.2134831460674157,0.2511415525114155,0.3257142857142857,0,0,0,0,0,0,1,381,690.2675752512897,1250.5756573314811,2265.700332426481,4104.828017611721
88,34,0.0467979676767199,,,,,,,,,,,1,0,0,0,0,0,0,69,105.37412947279289,160.92329220505667,245.75582359425687,375.30878223353693
89,45,0.0541874056646528,0.0714285714285714,0.065891472868217,,,,,,,,,1,0,0,0,0,0,0,264,461.0672972956314,805.2388357405224,1406.3230820922863,2456.0969037301215
90,33,0.0591135334523485,0.064625850340136,0.0736434108527131,0.1157024793388429,0.0950413223140495,0.0923076272187096,,,,,,1,0,0,0,0,0,0,1220,2483.1091699576696,5053.95995895726,10286.503539906278,20936.484644871533
91,45,0.0714283603088091,0.0714285714285714,0.0697674418604651,0.0909090909090909,0.1074380165289256,0.1230773491139007,0.1225071225071225,,,,,1,0,0,0,0,0,0,302,534.5737600208647,946.25531424783,1674.9776863483025,2964.8977474909257
92,39,0.0541874056646528,0.064625850340136,0.065891472868217,0.0702479338842975,,,,,,,,0,0,0,0,0,1,0,3603,8172.043850133059,18535.193085899926,42040.080674065306,95352.03517390853
93,27,0.0665022325211133,0.0714285714285714,0.1007751937984496,0.0991735537190082,0.0909090909090909,,,,,,,0,0,0,0,0,1,0,213,364.0973883561053,622.3798507405464,1063.8820573713408,1818.575955905281
94,21,0.0665022325211133,0.064625850340136,0.0775193798449612,0.0661157024793388,0.0909090909090909,0.0923080118354255,,,,,,0,0,0,0,0,1,0,146,240.31901836771806,395.57007252892845,651.1165172999939,1071.7512484968609
95,43,0.0467982139831092,0.0680272108843537,0.0542635658914728,0.0661157024793388,0.0867768595041322,0.0846149082823748,0.1339031339031339,,,,,0,0,0,0,0,1,0,1154,2335.7501730832505,4727.667999184078,9569.021964795804,19368.1496624863
96,30,0.0837439260844377,0.0680272108843537,0.0891472868217054,0.1074380165289256,0.0991735537190082,0.1384616331364224,0.1566951566951566,0.198473282442748,0.2531258701201785,,,0,0,1,0,0,0,0,615,1168.8603515534026,2221.5195470464096,4222.1888109649135,8024.632679527293
97,46,0.0492610315705677,0.0612244897959183,,,,,,,,,,0,0,1,0,0,0,0,466,861.4389576254592,1592.4400809331262,2943.755200429258,5441.771269017813
98,62,0.0492610315705677,0.0612244897959183,0.0581395348837209,,,,,,,,,0,0,0,0,1,0,0,3207,7189.668325381962,16118.282079513741,36135.04899490229,81009.98353438535
99,42,0.0467979676767199,,,,,,,,,,,0,0,0,1,0,0,0,822,1608.2701422844686,3146.633638155354,6156.492614298305,12045.381086095866
100,21,0.078817798296742,0.0918367346938775,0.0813953488372093,0.0743801652892562,0.0991735537190082,0.1269227470402782,0.150997150997151,0.1908396946564885,,,,0,0,0,1,0,0,0,2433,5305.866515263482,11570.990332015703,25233.921147176163,55029.92900271305
101,29,0.0763547344028942,0.0918367346938775,0.1046511627906976,0.1157024793388429,0.1115702479338842,0.1269235162737101,0.1396011396011396,0.2251908396946564,0.2718749970703024,0.3432030932030932,,0,0,0,1,0,0,0,4259,9822.870172631012,22655.266125466973,52251.64073183078,120512.11157918087
102,51,0.0738916705090463,0.0850340136054421,0.0813953488372093,0.0991735537190082,0.1198347107438016,0.1192307973373754,0.1481481481481481,0.1908396946564885,0.2312501699224591,0.3512776905634048,,0,0,0,1,0,0,0,982,1955.791870365994,3895.2360898062193,7757.913520976809,15450.981868970312
103,24,0.0763544880965048,0.064625850340136,0.0775193798449612,0.0950413223140495,0.0991735537190082,0.096153409761803,0.1481481481481481,0.1946564885496183,0.2437489628870599,0.305519216233502,,0,0,0,0,0,0,1,1342,2757.577757514598,5666.345073576175,11643.358525555948,23925.086805395676
104,32,0.0717703349282296,0.0863636363636363,0.0985221674876847,0.0889487870619946,,,,,,,,1,0,0,0,0,0,0,167,278.6044944985786,464.79319972939186,775.4100266885276,1293.6090929023135
105,38,0.0861244019138755,0.0909090909090909,,,,,,,,,,1,0,0,0,0,0,0,1768,3734.482999549883,7888.214521451961,16661.992662423567,35194.529602061986
106,40,0.0861244019138755,0.0954545454545454,0.1034482758620689,0.0970350404312668,0.1040462427745664,0.1244013735931173,0.157556270096463,0.1699604743083003,,,,1,0,0,0,0,0,0,325,579.5243614072398,1033.3799552752882,1842.6734112983186,3285.7665598915596
107,80,0.0669856459330143,0.0545454545454545,0.064039408866995,,,,,,,,,0,0,0,0,1,0,0,1964,4192.331649804989,8948.902577370975,19102.223781127177,40775.38561062977
108,32,0.0861244019138755,0.0727272727272727,0.0985221674876847,0.1185983827493261,0.1040462427745664,0.148325377166335,0.1672025723472668,0.1778656126482213,0.2300884955752212,,,0,0,0,0,0,1,0,3251,7298.248832018003,16384.015999400814,36780.8753095636,82570.2799965001
109,24,0.1100478468899521,0.1090909090909091,0.1280788177339901,0.1401617250673854,0.1560693641618497,0.1291870355546645,0.1736334405144694,0.2094861660079051,0.2610619469026548,0.325268368450467,,0,0,0,0,0,1,0,1279,2615.5173118584075,5348.655831611431,10937.843567437158,22367.567791267367
110,42,0.1004784688995215,0.1,0.1034482758620689,0.1266846361185983,0.1213872832369942,0.1435401936752898,0.1639871382636656,,,,,0,0,1,0,0,0,0,5171,12159.955666127564,28594.956836624944,67242.97184455437,158126.38880070462
111,31,0.1196172248803827,0.1272727272727273,0.1133004926108374,0.1347708894878706,0.1676300578034682,0.1722489022690506,0.1736334405144694,0.2332015810276679,0.2610619469026548,0.3481193038992962,,0,0,0,1,0,0,0,7063,17135.158534457736,41570.67223573541,100852.33741233282,244672.34746296794
112,32,0.1004784688995215,0.1045454545454545,0.1133004926108374,0.105121293800539,0.1271676300578034,0.1626799706984664,0.1639871382636656,0.2094861660079051,0.247787610619469,0.3266123276502367,,0,0,0,0,0,0,1,1318,2703.379096091606,5544.960953858162,11373.392664115574,23328.21849758089
113,35,0.0765550239234449,0.0681818181818181,0.0738916256157635,0.0862533692722371,0.0867052023121387,,,,,,,0,0,0,0,0,0,1,1530,3185.3750488832493,6631.773988266632,13806.985223566984,28745.37662186269
114,32,0.0956937799043062,0.0909090909090909,0.1034482758620689,0.1024258760107816,0.1329479768786127,0.1196171470430762,,,,,,0,0,0,0,0,0,1,70,107.05521894516544,163.7259986199614,250.39603756108315,382.9457517729086
115,58,0.066079295154185,,,,,,,,,,,1,0,0,0,0,0,0,4679,10893.522875137061,25362.009111163545,59047.15247101831,137472.00388004756
116,76,0.079295154185022,0.085972850678733,0.090497737556561,0.0977653631284916,0.1153846153846153,,,,,,,1,0,0,0,0,0,0,436,800.6360447244283,1470.2249452109538,2699.8052408002,4957.7096089920915
117,19,0.1013215859030837,0.0995475113122171,0.1040723981900452,0.111731843575419,0.1098901098901099,0.1449275432332379,0.1606714628297362,0.2113207547169811,0.2543859649122806,0.3293164561842317,,1,0,0,0,0,0,0,2205,4761.562104815888,10282.30098776357,22203.997611630835,47948.16943445066
118,50,0.105726872246696,0.1085972850678732,0.1085972850678732,0.1564245810055866,0.1373626373626373,0.1400970921157704,0.1750599520383693,0.2150943396226415,0.2631578947368421,0.361446654088323,,1,0,0,0,0,0,0,538,1008.9287629016216,1892.076670279173,3548.2724428620545,6654.189825677922
119,41,0.0969162995594713,0.0950226244343891,0.1085972850678732,0.1089385474860335,0.1318681318681318,0.1449280263266591,0.1654676258992805,,,,,0,0,0,0,0,1,0,640,1221.231425700701,2330.322179873382,4446.660434482399,8485.00228439036
120,39,0.0837004405286343,0.0950226244343891,0.1040723981900452,0.0949720670391061,0.1318681318681318,0.1062800695461289,0.1678657074340527,0.1811320754716981,,,,0,0,0,0,0,1,0,2339,5080.813386674908,11036.62448491445,23973.933059708164,52076.56264258792
121,41,0.066079295154185,0.0814479638009049,0.0814479638009049,,,,,,,,,1,0,0,0,0,0,0,1217,2476.393389608699,5039.050304106534,10253.632590793037,20864.443687194867
122,57,0.0704845814977973,0.0542986425339366,,,,,,,,,,0,0,0,1,0,0,0,1482,3075.622462061095,6382.897118174587,13246.546389799456,27490.806761944295
