index,celebrity_age_during_season,weeks,elimination_order,score_sum,industry_Actor_Performer,industry_Influencer,industry_Model_Fashion,industry_Music,industry_Others,industry_Sports,industry_TV_Media
90,33,6,8.0,45.66663333333334,1,0,0,0,0,0,0
91,45,7,11.0,56.49993333333333,1,0,0,0,0,0,0
92,39,4,6.0,25.0,0,0,0,0,0,1,0
93,27,5,7.0,39.99993333333333,0,0,0,0,0,1,0
94,21,6,9.0,42.6666,0,0,0,0,0,1,0
95,43,7,10.0,45.1666,0,0,0,0,0,1,0
96,30,9,13.0,81.16659999999999,0,0,1,0,0,0,0
97,46,2,3.0,12.666633333333332,0,0,1,0,0,0,0
98,62,3,4.0,17.666633333333333,0,0,0,0,1,0,0
99,42,1,2.0,6.3333,0,0,0,1,0,0,0
100,21,8,12.0,68.83323333333334,0,0,0,1,0,0,0
101,29,10,15.0,94.77766666666668,0,0,0,1,0,0,0
102,51,10,16.0,88.22206666666668,0,0,0,1,0,0,0
103,24,10,14.0,81.57386666666666,0,0,0,0,0,0,1
104,32,4,3.0,23.5,1,0,0,0,0,0,0
105,38,2,1.0,12.666666666666668,1,0,0,0,0,0,0
106,40,8,7.0,55.99993333333333,1,0,0,0,0,0,0
107,80,3,2.0,13.0,0,0,0,0,1,0,0
108,32,9,8.0,66.49996666666667,0,0,0,0,0,1,0
109,24,10,10.0,87.62956666666668,0,0,0,0,0,1,0
110,42,7,6.0,54.6666,0,0,1,0,0,0,0
111,31,10,11.0,93.59253333333334,0,0,0,1,0,0,0
112,32,10,9.0,83.1666,0,0,0,0,0,0,1
113,35,5,4.0,25.666666666666664,0,0,0,0,0,0,1
114,32,6,5.0,42.66663333333333,0,0,0,0,0,0,1
115,58,1,1.0,5.0,1,0,0,0,0,0,0
116,76,5,5.0,31.83333333333333,1,0,0,0,0,0,0
117,19,10,11.0,82.48603333333332,1,0,0,0,0,0,0
118,50,10,12.0,89.95833333333334,1,0,0,0,0,0,0
119,41,7,7.0,55.45833333333333,0,0,0,0,0,1,0
120,39,8,8.0,58.749966666666666,0,0,0,0,0,1,0
121,41,3,3.0,17.0,1,0,0,0,0,0,0
122,57,2,2.0,9.333333333333332,0,0,0,1,0,0,0
123,31,9,9.0,79.79163333333334,0,0,0,1,0,0,0
124,28,4,4.0,22.333333333333336,0,0,0,0,0,0,1
125,25,6,6.0,48.6666,0,0,0,0,0,0,1
126,19,10,10.0,73.68046666666666,0,0,0,0,0,0,1
127,49,9,8.0,69.58333333333334,1,0,0,0,0,0,0
128,22,10,9.0,86.55553333333334,1,0,0,0,0,0,0
129,60,10,10.0,79.66663333333334,1,0,0,0,0,0,0
130,35,10,11.0,86.47220000000002,0,0,0,0,0,1,0
131,54,4,3.0,25.0,0,0,0,0,0,1,0
132,40,6,5.0,44.66666666666667,0,0,0,0,0,1,0
133,31,5,4.0,35.333333333333336,0,0,1,0,0,0,0
134,32,2,1.0,10.0,0,0,0,0,0,0,1
135,21,8,7.0,62.5,0,0,0,1,0,0,0
136,46,3,2.0,15.333333333333334,0,0,0,0,0,0,1
137,25,7,6.0,49.29166666666667,0,0,0,0,0,0,1
138,33,2,2.0,12.0,1,0,0,0,0,0,0
139,40,7,7.0,51.5,1,0,0,0,0,0,0
140,42,10,10.0,88.66659999999999,1,0,0,0,0,0,0
141,28,10,12.0,87.72216666666667,1,0,0,0,0,0,0
142,31,1,1.0,4.666666666666667,0,0,0,0,0,1,0
143,30,9,9.0,69.1666,0,0,0,0,0,1,0
144,43,4,4.0,30.0,0,0,0,1,0,0,0
145,24,3,3.0,21.666666666666664,0,0,0,0,0,0,1
146,41,5,5.0,32.333333333333336,0,0,0,0,0,0,1
147,42,6,6.0,37.66666666666667,0,0,0,0,0,0,1
148,51,8,8.0,56.33333333333333,0,0,0,0,0,0,1
149,24,10,11.0,81.27766666666668,0,0,0,0,0,0,1
150,31,10,10.0,92.55553333333334,1,0,0,0,0,0,0
151,52,3,2.0,22.666666666666668,1,0,0,0,0,0,0
152,44,4,3.0,30.333333333333336,1,0,0,0,0,0,0
153,35,7,6.0,60.49993333333333,1,0,0,0,0,0,0
154,20,8,7.0,69.33326666666666,1,0,0,0,0,0,0
155,47,8,8.0,61.99999999999999,1,0,0,0,0,0,0
156,55,2,1.0,12.333333333333334,0,0,0,0,0,1,0
157,37,10,12.0,90.38883333333334,0,0,0,0,0,1,0
158,35,5,4.0,35.66666666666667,0,0,0,1,0,0,0
159,67,6,5.0,44.0,0,0,0,1,0,0,0
160,31,10,11.0,95.16663333333332,0,0,0,1,0,0,0
161,33,9,9.0,80.16663333333334,0,0,0,0,0,0,1
162,36,8,8.0,74.38416666666666,1,0,0,0,0,0,0
163,28,6,6.0,53.29166666666666,1,0,0,0,0,0,0
164,61,8,7.0,64.5833,1,0,0,0,0,0,0
165,36,10,11.0,90.6434,1,0,0,0,0,0,0
166,30,9,9.0,82.3379,0,0,0,0,0,1,0
167,43,9,10.0,81.35176666666666,0,0,0,0,0,1,0
168,20,10,12.0,94.5508,0,0,0,0,0,1,0
169,45,1,1.0,5.666666666666667,0,0,1,0,0,0,0
170,37,3,4.0,23.333333333333336,0,0,0,0,0,1,0
171,35,2,2.0,14.333333333333332,0,0,0,1,0,0,0
172,36,3,3.0,22.666666666666668,0,0,0,1,0,0,0
173,21,4,5.0,28.0,0,0,0,0,0,0,1
174,29,10,13.0,94.70356666666666,0,0,0,0,0,0,1
175,41,9,8.0,67.5,1,0,0,0,0,0,0
176,16,10,11.0,90.99993333333332,1,0,0,0,0,0,0
177,56,2,1.0,12.0,0,0,0,0,0,1,0
178,26,6,5.0,39.333333333333336,0,0,0,0,0,1,0
179,18,10,9.0,88.16666666666667,0,0,0,0,0,1,0
180,28,10,10.0,83.9999,0,0,0,0,0,1,0
181,50,5,4.0,27.666666666666664,1,0,0,0,0,0,0
182,47,7,6.0,44.16666666666667,1,0,0,0,0,0,0
183,48,3,2.0,17.0,0,0,0,1,0,0,0
184,26,10,12.0,89.16666666666667,0,0,0,1,0,0,0
185,52,4,3.0,25.0,0,0,0,0,0,0,1
186,29,8,7.0,57.333333333333336,0,0,0,0,0,0,1
187,74,4,3.0,24.666666666666664,1,0,0,0,0,0,0
188,28,8,6.0,68.83333333333334,1,0,0,0,0,0,0
189,39,9,7.0,79.6666,1,0,0,0,0,0,0
190,43,10,8.0,82.95830000000001,1,0,0,0,0,0,0
191,24,11,11.0,101.43043333333334,1,0,0,0,0,0,0
192,27,11,12.0,101.31936666666668,1,0,0,0,0,0,0
193,41,2,1.0,11.666666666666668,0,0,0,0,0,1,0
194,56,11,9.0,83.33326666666667,1,0,0,0,0,0,0
195,31,5,4.0,41.66666666666666,0,0,0,1,0,0,0
196,25,7,5.0,58.66666666666667,0,0,0,0,0,0,1
197,27,11,10.0,95.70823333333333,0,0,0,0,0,0,1
198,57,3,2.0,15.666666666666668,0,0,0,0,0,0,1
199,76,2,3.0,10.0,1,0,0,0,0,0,0
200,39,8,7.0,70.25,1,0,0,0,0,0,0
201,23,10,9.0,88.75000000000001,1,0,0,0,0,0,0
202,37,10,10.0,82.99993333333335,1,0,0,0,0,0,0
203,33,2,2.0,13.666666666666668,0,0,0,0,0,1,0
204,64,1,1.0,6.0,0,0,0,0,0,1,0
205,26,9,8.0,81.20833333333334,0,0,0,0,0,1,0
206,34,10,11.0,91.26386666666669,0,0,0,0,0,1,0
207,27,10,12.0,93.58333333333334,0,0,0,0,0,1,0
208,55,6,5.0,44.75,1,0,0,0,0,0,0
209,17,5,4.0,39.66666666666666,0,0,0,1,0,0,0
210,46,7,6.0,55.25,0,0,0,0,0,0,1
211,42,7,6.0,49.875,1,0,0,0,0,0,0
212,33,6,5.0,43.0,1,0,0,0,0,0,0
213,53,9,8.0,76.25,1,0,0,0,0,0,0
214,25,11,11.0,99.49995,1,0,0,0,0,0,0
215,42,11,13.0,101.0,1,0,0,0,0,0,0
216,32,1,1.0,5.5,0,0,0,0,0,1,0
217,51,3,3.0,21.25,0,0,0,0,0,1,0
218,76,10,9.0,71.625,1,0,0,0,0,0,0
219,72,4,4.0,26.5,0,0,1,0,0,0,0
220,51,8,7.0,51.25,0,0,0,0,0,1,0
221,50,2,2.0,14.25,0,0,0,0,0,0,1
222,18,11,10.0,99.125,0,1,0,0,0,0,0
223,17,11,12.0,96.7083,0,0,0,0,0,0,1
224,68,5,4.0,33.5,1,0,0,0,0,0,0
225,14,7,6.0,59.375,1,0,0,0,0,0,0
226,23,10,11.0,90.75,1,0,0,0,0,0,0
227,26,10,12.0,90.625,1,0,0,0,0,0,0
228,25,9,9.0,81.875,0,0,0,0,0,1,0
229,25,4,3.0,27.0,0,0,0,0,0,1,0
230,52,8,7.0,59.625,0,0,0,0,1,0,0
231,21,3,2.0,17.5,0,0,1,0,0,0,0
232,33,10,10.0,80.125,0,0,0,0,1,0,0
233,39,2,1.0,13.25,0,0,0,1,0,0,0
234,70,6,5.0,41.5,0,0,0,1,0,0,0
235,33,8,8.0,56.75,0,0,0,0,0,0,1
236,71,4,4.0,22.08333333333333,1,0,0,0,0,0,0
237,27,9,8.0,76.6666,1,0,0,0,0,0,0
238,26,11,10.0,98.99993333333332,1,0,0,0,0,0,0
239,43,2,2.0,11.166666666666668,0,0,0,0,0,1,0
240,22,11,11.0,90.3333,0,0,0,0,1,0,0
241,62,2,1.0,9.333333333333332,0,0,0,1,0,0,0
242,31,8,7.0,65.58326666666667,0,0,0,1,0,0,0
243,38,9,9.0,76.83333333333333,0,0,0,1,0,0,0
244,35,11,12.0,100.16666666666669,0,0,0,1,0,0,0
245,15,7,6.0,55.833333333333336,0,1,0,0,0,0,0
246,17,11,13.0,102.08333333333334,0,0,0,0,0,0,1
247,37,2,3.0,10.166666666666668,0,0,0,0,0,0,1
248,68,6,5.0,34.66666666666667,0,0,0,0,0,0,1
249,30,3,2.0,16.333333333333332,1,0,0,0,0,0,0
250,46,7,5.0,52.0,1,0,0,0,0,0,0
251,34,8,7.0,63.66666666666667,1,0,0,0,0,0,0
252,53,6,4.0,38.333333333333336,0,0,0,0,0,1,0
253,27,7,6.0,52.25,0,0,0,0,0,1,0
254,27,9,8.0,71.08333333333333,0,0,0,0,0,1,0
255,22,10,11.0,86.9722,0,0,0,0,0,1,0
256,72,2,1.0,8.666666666666666,0,0,0,0,0,0,1
257,26,10,12.0,86.9166,0,0,1,0,0,0,0
258,35,10,10.0,84.61106666666666,0,0,0,0,0,0,1
259,42,9,9.0,77.08333333333334,0,0,0,1,0,0,0
260,52,4,3.0,27.666666666666668,0,0,0,0,0,0,1
261,21,2,1.0,11.5,1,0,0,0,0,0,0
262,60,7,6.0,51.0,1,0,0,0,0,0,0
263,64,9,8.0,69.66666666666667,1,0,0,0,0,0,0
264,32,8,7.0,58.0,0,0,0,0,0,1,0
265,30,11,11.0,93.833275,0,0,0,0,0,1,0
266,16,11,13.0,100.54163333333337,0,0,0,0,0,1,0
267,32,6,5.0,41.25,0,0,1,0,0,0,0
268,66,3,2.0,16.25,0,0,0,0,1,0,0
269,29,11,12.0,100.24988333333332,0,0,0,0,0,1,0
270,57,4,3.0,26.25,0,0,0,1,0,0,0
271,48,4,4.0,26.166666666666668,0,0,0,1,0,0,0
272,32,11,10.0,94.0,0,0,0,1,0,0,0
273,36,10,9.0,82.45833333333334,0,0,0,0,0,0,1
274,66,3,2.0,17.5,1,0,0,0,0,0,0
275,64,4,3.0,23.5,1,0,0,0,0,0,0
276,30,6,5.0,49.25,1,0,0,0,0,0,0
277,47,7,6.0,56.875,0,0,0,0,0,1,0
278,29,8,8.0,56.875,0,0,0,0,0,1,0
279,20,9,9.0,79.125,0,0,0,0,0,1,0
280,40,10,11.0,78.208325,0,0,0,0,0,1,0
281,32,10,12.0,87.91665,0,0,0,0,0,1,0
282,46,2,1.0,9.75,1,0,0,0,0,0,0
283,45,5,4.0,35.0,0,0,0,1,0,0,0
284,20,10,10.0,89.70830000000001,0,0,0,1,0,0,0
285,36,7,7.0,50.875,0,0,0,0,0,0,1
286,21,5,4.0,35.83333333333333,1,0,0,0,0,0,0
287,31,10,11.0,83.80550833333334,1,0,0,0,0,0,0
288,23,10,13.0,91.75,1,0,0,0,0,0,0
289,43,4,3.0,27.0,0,0,0,0,0,1,0
290,33,7,6.0,54.16666666666667,0,0,0,0,0,1,0
291,43,8,8.0,60.75,0,0,0,0,0,1,0
292,22,9,9.0,73.58333333333333,0,0,0,0,0,1,0
293,68,2,1.0,10.333333333333334,0,0,0,0,1,0,0
294,31,10,12.0,88.83333333333334,0,0,0,1,0,0,0
295,47,2,2.0,12.5,0,0,0,1,0,0,0
296,43,6,5.0,40.5,0,0,0,1,0,0,0
297,39,10,10.0,78.375,0,0,0,0,0,0,1
298,36,7,7.0,56.5,0,0,0,0,0,0,1
299,27,1,1.0,6.333333333333333,0,0,0,0,0,1,0
300,44,1,2.0,6.0,0,0,0,0,0,1,0
301,71,2,3.0,13.041666666666668,0,0,0,0,0,1,0
302,21,2,4.0,15.416666666666668,0,0,0,0,0,1,0
303,37,3,5.0,22.125,0,0,0,0,0,1,0
304,29,3,6.0,23.5,0,0,0,0,0,1,0
305,25,3,7.0,25.666666666666668,0,0,0,0,0,1,0
306,47,4,8.0,34.0,0,0,0,0,0,1,0
307,30,4,9.0,34.875,0,0,0,0,0,1,0
308,28,4,10.0,37.16666666666666,0,0,0,0,0,1,0
309,39,8,9.0,73.0,1,0,0,0,0,0,0
310,27,9,11.0,78.16666666666666,1,0,0,0,0,0,0
311,52,3,3.0,20.666666666666664,1,0,0,0,0,0,0
312,58,7,6.0,50.5,1,0,0,0,0,0,0
313,17,9,12.0,81.83333333333333,1,0,0,0,0,0,0
314,46,2,2.0,12.166666666666668,0,0,0,0,0,1,0
315,50,6,5.0,47.333333333333336,0,0,0,0,0,1,0
316,36,7,7.0,57.66666666666666,0,0,0,0,0,1,0
317,34,1,1.0,5.833333333333333,1,0,0,0,0,0,0
318,38,9,13.0,67.16666666666667,0,0,0,0,0,0,1
319,25,4,4.0,34.0,0,0,0,1,0,0,0
320,21,9,10.0,79.5,0,1,0,0,0,0,0
321,32,8,8.0,50.0,0,0,0,0,0,0,1
322,55,8,6.0,60.1666,1,0,0,0,0,0,0
323,42,10,8.0,83.1666,1,0,0,0,0,0,0
324,41,11,11.0,91.08326666666666,1,0,0,0,0,0,0
325,44,2,2.0,10.0,0,0,0,0,0,1,0
326,39,4,3.0,16.666666666666664,0,0,0,0,0,1,0
327,21,6,4.0,44.41666666666667,0,0,1,0,0,0,0
328,48,9,7.0,52.83333333333333,0,0,0,0,1,0,0
329,75,2,1.0,10.666666666666668,0,0,0,1,0,0,0
330,24,11,9.0,87.91666666666666,0,0,0,1,0,0,0
331,26,11,10.0,94.16666666666669,0,0,0,1,0,0,0
332,38,7,5.0,47.83333333333333,0,0,0,0,0,0,1
333,24,11,12.0,92.5416,0,0,0,0,0,0,1
334,51,4,3.0,24.0,1,0,0,0,0,0,0
335,41,5,4.0,32.66666666666667,1,0,0,0,0,0,0
336,39,8,8.0,57.0,1,0,0,0,0,0,0
337,18,10,11.0,78.49986666666666,1,0,0,0,0,0,0
338,48,11,12.0,91.99986666666668,1,0,0,0,0,0,0
339,56,2,1.0,9.0,0,0,0,0,0,1,0
340,36,6,5.0,40.333333333333336,0,0,0,0,0,1,0
341,36,10,10.0,83.5,0,0,0,0,0,1,0
342,35,11,14.0,96.6666,0,0,0,0,1,0,0
343,42,9,9.0,70.33326666666667,0,0,0,1,0,0,0
344,45,11,13.0,84.16666666666666,0,0,0,1,0,0,0
345,35,11,15.0,95.33333333333334,0,0,0,0,0,0,1
346,59,3,2.0,13.0,0,0,0,0,0,0,1
347,48,7,6.0,51.66666666666666,0,0,0,0,0,0,1
348,41,7,7.0,51.0,0,0,0,0,0,0,1
349,75,2,1.0,7.0,1,0,0,0,0,0,0
350,48,4,3.0,24.58333333333333,1,0,0,0,0,0,0
351,54,9,10.0,76.54166666666667,1,0,0,0,0,0,0
352,29,4,4.0,25.291666666666668,0,0,0,0,0,1,0
353,40,7,7.0,52.45833333333333,0,0,0,0,0,1,0
354,18,9,11.0,75.875,0,0,0,0,0,1,0
355,31,10,15.0,79.33333333333333,0,0,0,0,0,1,0
356,34,10,13.0,79.125,0,0,0,0,0,1,0
357,47,5,5.0,38.83333333333333,0,0,0,1,0,0,0
358,36,8,9.0,62.54166666666667,0,0,0,1,0,0,0
359,21,8,8.0,67.25,0,1,0,0,0,0,0
360,18,10,14.0,91.75,0,1,0,0,0,0,0
361,38,3,2.0,19.25,0,0,0,0,0,0,1
362,50,6,6.0,43.875,0,0,0,0,0,0,1
363,39,10,12.0,89.375,0,0,0,0,0,0,1
364,51,1,1.0,4.5,1,0,0,0,0,0,0
365,71,3,3.0,16.5,1,0,0,0,0,0,0
366,50,5,5.0,39.0,1,0,0,0,0,0,0
367,24,5,6.0,34.75,1,0,0,0,0,0,0
368,39,9,11.0,71.625,1,0,0,0,0,0,0
369,32,9,12.0,73.375,1,0,0,0,0,0,0
370,50,10,14.0,90.625,1,0,0,0,0,0,0
371,61,4,4.0,24.0,0,0,0,0,0,0,1
372,34,6,7.0,42.5,0,0,0,1,0,0,0
373,32,7,8.0,55.0,0,0,0,1,0,0,0
374,50,8,9.0,65.75,0,1,0,0,0,0,0
375,18,10,16.0,94.75,0,1,0,0,0,0,0
376,50,2,2.0,10.75,0,0,0,0,0,0,1
377,34,8,10.0,53.875,0,0,0,0,0,0,1
378,40,10,13.0,86.375,0,0,0,0,0,0,1
379,31,10,15.0,90.625,0,0,0,0,0,0,1
380,32,2,2.0,10.333333333333332,1,0,0,0,0,0,0
381,55,5,5.0,32.5,1,0,0,0,0,0,0
382,68,8,8.0,55.45833333333333,1,0,0,0,0,0,0
383,49,11,10.0,80.49999999999999,1,0,0,0,0,0,0
384,17,11,14.0,100.33333333333334,1,0,0,0,0,0,0
385,38,4,4.0,23.5,0,0,0,0,0,1,0
386,58,1,1.0,4.0,1,0,0,0,0,0,0
387,52,3,3.0,15.0,0,0,1,0,0,0,0
388,46,11,13.0,97.75,0,0,0,1,0,0,0
389,27,7,7.0,53.79166666666666,0,1,0,0,0,0,0
390,26,9,9.0,57.75,0,0,0,0,0,0,1
391,53,6,6.0,37.33333333333333,0,0,0,0,0,0,1
392,27,11,11.0,97.08333333333331,0,0,0,0,0,0,1
393,38,11,12.0,97.25,0,0,0,0,0,0,1
394,51,2,1.0,12.0,1,0,0,0,0,0,0
395,68,3,3.0,15.75,1,0,0,0,0,0,0
396,74,3,3.0,15.583333333333332,1,0,0,0,0,0,0
397,24,9,11.0,81.625,1,0,0,0,0,0,0
398,38,7,8.0,54.75,0,0,0,0,0,1,0
399,39,9,9.0,74.83333333333333,0,0,0,0,0,1,0
400,26,9,10.0,75.33333333333333,0,0,0,0,0,1,0
401,28,9,12.0,72.33333333333333,0,0,0,0,0,1,0
402,33,2,1.0,11.666666666666668,0,0,0,0,1,0,0
403,27,4,5.0,28.291666666666668,0,0,1,0,0,0,0
404,51,5,6.0,36.33333333333333,0,0,0,0,0,0,1
405,26,6,7.0,47.25,0,0,0,0,0,0,1
406,29,9,13.0,80.08333333333333,0,0,0,0,0,0,1
407,54,2,1.0,9.5,1,0,0,0,0,0,0
408,44,8,7.0,60.58333333333333,1,0,0,0,0,0,0
409,55,11,10.0,90.0416,1,0,0,0,0,0,0
410,46,2,1.0,11.0,0,0,0,0,0,1,0
411,24,11,12.0,94.4722,0,0,0,0,0,1,0
412,59,9,8.0,57.58333333333333,1,0,0,0,0,0,0
413,22,11,14.0,97.2222,0,0,0,0,1,0,0
414,41,4,4.0,29.0,0,0,0,0,1,0,0
415,29,3,3.0,19.5,0,0,0,1,0,0,0
416,34,6,5.0,39.83333333333333,0,0,0,1,0,0,0
417,24,11,13.0,96.70833333333334,0,1,0,0,0,0,0
418,26,7,6.0,51.08333333333333,0,0,0,0,0,0,1
419,32,10,9.0,89.70833333333334,0,0,0,0,0,0,1
420,33,11,11.0,92.4444,0,0,0,0,0,0,1
