index,celebrity_industry,celebrity_age_during_season,placement,season,1,2,3,4,5,6,7,8,9,10,11,weeks,elimination_order,score_sum
41,Actor/Actress,35,4,5,7.0,7.0,8.666666666666666,9.0,8.333333333333334,9.0,8.833333333333334,8.333333333333334,9.666666666666666,,,9,9.0,75.83333333333333
42,Athlete,30,9,5,6.0,7.0,7.0,7.666666666666667,,,,,,,,4,4.0,27.666666666666668
43,Model,29,12,5,5.333333333333333,,,,,,,,,,,1,1.0,5.333333333333333
44,Model,22,11,5,7.0,7.0,,,,,,,,,,2,2.0,14.0
45,Racing Driver,32,1,5,8.333333333333334,9.0,8.0,9.0,7.666666666666667,9.333333333333334,8.666666666666666,9.5,10.0,9.333300000000001,,10,12.0,88.83330000000001
46,Singer/Rapper,32,2,5,8.0,7.666666666666667,9.0,8.666666666666666,9.666666666666666,10.0,9.0,9.333333333333334,10.0,9.4444,,10,11.0,90.77773333333333
47,Singer/Rapper,65,10,5,6.333333333333333,5.0,6.0,,,,,,,,,3,3.0,17.333333333333332
48,Singer/Rapper,47,3,5,7.0,8.0,8.666666666666666,8.666666666666666,7.0,7.666666666666667,8.666666666666666,8.166666666666666,9.333333333333334,7.666666666666667,,10,10.0,80.83333333333333
49,TV Personality,49,8,5,7.0,6.0,6.666666666666667,7.333333333333333,7.0,,,,,,,5,5.0,34.0
50,Actor/Actress,34,3,6,7.0,6.666666666666667,8.333333333333334,8.666666666666666,7.666666666666667,9.0,7.666666666666667,9.5,9.333333333333334,8.666666666666666,,10,10.0,82.5
51,Actor/Actress,49,10,6,6.0,5.333333333333333,7.0,,,,,,,,,3,3.0,18.333333333333332
52,Actor/Actress,62,8,6,8.0,7.0,8.666666666666666,7.333333333333333,7.0,,,,,,,5,5.0,38.0
53,Actor/Actress,42,7,6,7.333333333333333,8.0,7.0,8.0,7.333333333333333,7.0,,,,,,6,6.0,44.666666666666664
54,Actor/Actress,34,6,6,7.0,8.0,8.0,9.333333333333334,7.666666666666667,8.0,8.5,,,,,7,7.0,56.5
55,Actor/Actress,35,4,6,6.0,7.0,6.333333333333333,8.0,8.0,8.666666666666666,8.666666666666666,8.333333333333334,8.666666666666666,,,9,9.0,69.66666666666667
56,Athlete,33,2,6,7.333333333333333,9.0,7.666666666666667,9.666666666666666,9.0,8.0,9.166666666666666,8.666666666666666,9.166666666666666,9.5,,10,11.0,87.16666666666667
57,Athlete,36,1,6,9.0,9.0,9.0,9.666666666666666,9.666666666666666,10.0,9.0,9.166666666666666,9.5,10.0,,10,12.0,94.0
58,Athlete,34,11,6,5.0,5.0,,,,,,,,,,2,2.0,10.0
59,Magician,53,12,6,5.333333333333333,5.666666666666667,,,,,,,,,,2,1.0,11.0
60,Radio Personality,43,9,6,5.0,6.333333333333333,7.0,6.333333333333333,,,,,,,,4,4.0,24.666666666666664
61,Singer/Rapper,21,5,6,8.0,8.666666666666666,7.0,8.0,9.0,9.333333333333334,8.5,8.833333333333334,,,,8,8.0,67.33333333333334
62,Actor/Actress,50,12,7,6.166666666666667,,,,,,,,,,,1,2.0,6.166666666666667
63,Actor/Actress,82,7,7,5.333333333333333,5.0,5.333333333333333,7.333333333333333,7.0,5.0,,,,,,6,7.0,35.0
64,Actor/Actress,61,6,7,6.166666666666667,7.0,7.0,8.0,7.333333333333333,7.666666666666667,8.0,,,,,7,8.0,51.16666666666667
65,Actor/Actress,18,4,7,6.833333333333333,7.0,7.0,7.666666666666667,9.333333333333334,7.666666666666667,7.333333333333333,8.0,7.666666666666667,,,9,10.0,68.5
66,Athlete,31,10,7,7.0,7.0,,,,,,,,,,2,4.0,14.0
67,Athlete,34,5,7,6.5,6.333333333333333,8.0,6.666666666666667,9.0,7.0,8.333333333333334,8.0,,,,8,9.0,59.833333333333336
68,Athlete,35,2,7,7.166666666666667,8.0,8.333333333333334,7.333333333333333,8.333333333333334,8.333333333333334,7.0,9.0,8.166666666666666,9.166666666666666,,10,12.0,80.83333333333334
69,Comedian,43,13,7,4.0,,,,,,,,,,,1,1.0,4.0
70,Singer/Rapper,40,8,7,7.5,7.666666666666667,7.333333333333333,7.333333333333333,7.333333333333333,,,,,,,5,6.0,37.16666666666667
71,Singer/Rapper,29,3,7,7.166666666666667,6.666666666666667,7.333333333333333,8.666666666666666,7.0,9.0,8.333333333333334,8.333333333333334,9.5,9.166666666666666,,10,11.0,81.16666666666667
72,TV Personality,27,11,7,6.166666666666667,5.666666666666667,,,,,,,,,,2,3.0,11.833333333333334
73,TV Personality,41,9,7,5.833333333333333,5.333333333333333,6.666666666666667,6.0,,,,,,,,4,5.0,23.833333333333336
74,TV Personality,37,1,7,8.166666666666666,8.0,9.333333333333334,8.666666666666666,9.666666666666666,8.666666666666666,10.0,9.166666666666666,8.166666666666666,10.0,,10,13.0,89.83333333333333
75,Actor/Actress,33,2,8,8.0,9.0,9.0,10.0,9.666666666666666,8.666666666666666,9.0,9.166666666666666,9.333333333333334,10.0,9.666666666666666,11,12.0,101.5
76,Actor/Actress,38,12,8,6.0,7.0,5.333333333333333,,,,,,,,,3,2.0,18.333333333333332
77,Actor/Actress,52,9,8,6.333333333333333,5.666666666666667,8.0,7.333333333333333,7.333333333333333,,,,,,,5,5.0,34.666666666666664
78,Athlete,50,7,8,5.333333333333333,6.666666666666667,6.666666666666667,6.333333333333333,6.666666666666667,7.333333333333333,7.0,,,,,7,7.0,46.0
79,Athlete,39,4,8,4.666666666666667,6.666666666666667,7.666666666666667,8.333333333333334,7.0,6.0,8.0,8.666666666666666,7.666666666666667,8.0,,10,10.0,72.66666666666667
80,Athlete,17,1,8,7.666666666666667,8.0,9.0,8.333333333333334,8.666666666666666,8.666666666666666,9.333333333333334,8.666666666666666,9.333333333333334,9.333333333333334,10.0,11,13.0,96.99999999999999
81,Entrepreneur,58,10,8,4.333333333333333,5.666666666666667,3.3333333333333335,4.0,,,,,,,,4,4.0,17.333333333333336
82,Singer/Rapper,50,13,8,5.666666666666667,6.0,,,,,,,,,,2,1.0,11.666666666666668
83,Singer/Rapper,29,6,8,6.666666666666667,6.666666666666667,7.666666666666667,7.333333333333333,7.666666666666667,7.666666666666667,9.0,8.5,,,,8,8.0,61.16666666666667
84,Singer/Rapper,34,5,8,7.0,7.666666666666667,8.333333333333334,9.0,8.666666666666666,9.333333333333334,8.666666666666666,9.333333333333334,8.666666666666666,,,9,9.0,76.66666666666667
85,TV Personality,34,8,8,5.666666666666667,4.666666666666667,5.0,5.0,6.0,5.333333333333333,,,,,,6,6.0,31.666666666666668
86,TV Personality,30,11,8,6.0,6.0,5.666666666666667,5.333333333333333,,,,,,,,4,3.0,23.0
87,TV Personality,26,3,8,7.666666666666667,8.666666666666666,9.0,9.666666666666666,8.333333333333334,9.0,9.666666666666666,7.666666666666667,9.5,9.166666666666666,9.5,11,11.0,97.83333333333334
88,Actor/Actress,34,16,9,6.3333,,,,,,,,,,,1,1.0,6.3333
89,Actor/Actress,45,12,9,7.333333333333333,7.0,5.666666666666667,,,,,,,,,3,5.0,20.0
90,Actor/Actress,33,9,9,8.0,6.333333333333333,6.333333333333333,9.333333333333334,7.666666666666667,7.9999666666666664,,,,,,6,8.0,45.66663333333334
91,Actor/Actress,45,6,9,9.6666,7.0,6.0,7.333333333333333,8.666666666666666,10.666666666666666,7.166666666666667,,,,,7,11.0,56.49993333333333
92,Athlete,39,11,9,7.333333333333333,6.333333333333333,5.666666666666667,5.666666666666667,,,,,,,,4,6.0,25.0
93,Athlete,27,10,9,8.999933333333333,7.0,8.666666666666666,8.0,7.333333333333333,,,,,,,5,7.0,39.99993333333333
94,Athlete,21,8,9,8.999933333333333,6.333333333333333,6.666666666666667,5.333333333333333,7.333333333333333,8.0,,,,,,6,9.0,42.6666
95,Athlete,43,7,9,6.333333333333333,6.666666666666667,4.666666666666667,5.333333333333333,7.0,7.333266666666667,7.833333333333333,,,,,7,10.0,45.1666
96,Model,30,4,9,11.3333,6.666666666666667,7.666666666666667,8.666666666666666,8.0,11.999966666666666,9.166666666666666,8.666666666666666,9.0,,,9,13.0,81.16659999999999
97,Model,46,14,9,6.666633333333333,6.0,,,,,,,,,,2,3.0,12.666633333333333
98,Politician,62,13,9,6.666633333333333,6.0,5.0,,,,,,,,,3,4.0,17.666633333333333
99,Singer/Rapper,42,15,9,6.3333,,,,,,,,,,,1,2.0,6.3333
100,Singer/Rapper,21,5,9,10.666633333333332,9.0,7.0,6.0,8.0,10.999933333333333,8.833333333333334,8.333333333333334,,,,8,12.0,68.83323333333334
101,Singer/Rapper,29,2,9,10.3333,9.0,9.0,9.333333333333334,9.0,11.0,8.166666666666666,9.833333333333334,9.666633333333333,9.4444,,10,15.0,94.77766666666668
102,Singer/Rapper,51,1,9,9.999966666666666,8.333333333333334,7.0,8.0,9.666666666666666,10.3333,8.666666666666666,8.333333333333334,8.2222,9.6666,,10,16.0,88.22206666666668
103,TV Personality,24,3,9,10.333266666666667,6.333333333333333,6.666666666666667,7.666666666666667,8.0,8.333266666666667,8.666666666666666,8.5,8.6666,8.4074,,10,14.0,81.57386666666666
104,Actor/Actress,32,9,10,5.0,6.333333333333333,6.666666666666667,5.5,,,,,,,,4,3.0,23.5
105,Actor/Actress,38,11,10,6.0,6.666666666666667,,,,,,,,,,2,1.0,12.666666666666668
106,Actor/Actress,40,5,10,6.0,7.0,7.0,6.0,6.0,8.6666,8.166666666666666,7.166666666666667,,,,8,7.0,55.99993333333333
107,Astronaut,80,10,10,4.666666666666667,4.0,4.333333333333333,,,,,,,,,3,2.0,13.0
108,Athlete,32,4,10,6.0,5.333333333333333,6.666666666666667,7.333333333333333,6.0,10.3333,8.666666666666666,7.5,8.666666666666666,,,9,8.0,66.49996666666667
109,Athlete,24,2,10,7.666666666666667,8.0,8.666666666666666,8.666666666666666,9.0,9.0,9.0,8.833333333333334,9.833333333333334,8.9629,,10,10.0,87.62956666666668
110,Model,42,6,10,7.0,7.333333333333333,7.0,7.833333333333333,7.0,9.999933333333333,8.5,,,,,7,6.0,54.666599999999995
111,Singer/Rapper,31,1,10,8.333333333333334,9.333333333333334,7.666666666666667,8.333333333333334,9.666666666666666,11.999966666666666,9.0,9.833333333333334,9.833333333333334,9.592566666666666,,10,11.0,93.59253333333334
112,Sports Broadcaster,32,3,10,7.0,7.666666666666667,7.666666666666667,6.5,7.333333333333333,11.333333333333334,8.5,8.833333333333334,9.333333333333334,8.999933333333333,,10,9.0,83.1666
113,TV Personality,35,8,10,5.333333333333333,5.0,5.0,5.333333333333333,5.0,,,,,,,5,4.0,25.666666666666664
114,TV Personality,32,7,10,6.666666666666667,6.666666666666667,7.0,6.333333333333333,7.666666666666667,8.3333,,,,,,6,5.0,42.66663333333333
115,Actor/Actress,58,12,11,5.0,,,,,,,,,,,1,1.0,5.0
116,Actor/Actress,76,8,11,6.0,6.333333333333333,6.666666666666667,5.833333333333333,7.0,,,,,,,5,5.0,31.833333333333332
117,Actor/Actress,19,2,11,7.666666666666667,7.333333333333333,7.666666666666667,6.666666666666667,6.666666666666667,9.999966666666666,8.375,9.333333333333334,9.666666666666666,9.111066666666666,,10,11.0,82.48603333333332
118,Actor/Actress,50,1,11,8.0,8.0,8.0,9.333333333333334,8.333333333333334,9.666666666666666,9.125,9.5,10.0,10.0,,10,12.0,89.95833333333334
119,Athlete,41,6,11,7.333333333333333,7.0,8.0,6.5,8.0,10.0,8.625,,,,,7,7.0,55.45833333333333
120,Athlete,39,5,11,6.333333333333333,7.0,7.666666666666667,5.666666666666667,8.0,7.3333,8.75,8.0,,,,8,8.0,58.749966666666666
121,Comedian,41,10,11,5.0,6.0,6.0,,,,,,,,,3,3.0,17.0
122,Singer/Rapper,57,11,11,5.333333333333333,4.0,,,,,,,,,,2,2.0,9.333333333333332
123,Singer/Rapper,31,4,11,7.666666666666667,7.0,8.0,8.0,9.0,11.999966666666666,9.125,9.5,9.5,,,9,9.0,79.79163333333334
124,TV Personality,28,9,11,5.0,6.0,6.666666666666667,4.666666666666667,,,,,,,,4,4.0,22.333333333333336
125,TV Personality,25,7,11,6.333333333333333,7.666666666666667,8.666666666666666,7.666666666666667,7.666666666666667,10.6666,,,,,,6,6.0,48.6666
126,TV Personality,19,3,11,6.0,7.333333333333333,6.333333333333333,5.333333333333333,6.0,9.333266666666667,8.125,7.833333333333333,8.833333333333334,8.555533333333335,,10,10.0,73.68046666666666
127,Actor/Actress,49,4,12,8.0,7.0,7.0,8.333333333333334,7.333333333333333,8.0,8.25,7.666666666666667,8.0,,,9,8.0,69.58333333333334
128,Actor/Actress,22,3,12,7.0,6.0,7.666666666666667,8.666666666666666,8.666666666666666,9.333333333333334,8.0,9.166666666666666,12.166666666666666,9.888866666666667,,10,9.0,86.55553333333334
129,Actor/Actress,60,2,12,7.666666666666667,6.666666666666667,7.0,7.333333333333333,7.666666666666667,8.666666666666666,7.5,8.833333333333334,9.0,9.3333,,10,10.0,79.66663333333334
130,Athlete,35,1,12,7.0,7.666666666666667,8.333333333333334,8.333333333333334,9.0,9.0,8.25,9.0,10.0,9.888866666666667,,10,11.0,86.47220000000002
131,Athlete,54,9,12,5.666666666666667,5.666666666666667,6.666666666666667,7.0,,,,,,,,4,3.0,25.0
132,Athlete,40,7,12,6.333333333333333,7.666666666666667,7.0,7.666666666666667,8.666666666666666,7.333333333333333,,,,,,6,5.0,44.66666666666667
133,Model,31,8,12,6.0,6.0,8.333333333333334,7.666666666666667,7.333333333333333,,,,,,,5,4.0,35.333333333333336
134,Radio Personality,32,11,12,4.333333333333333,5.666666666666667,,,,,,,,,,2,1.0,10.0
135,Singer/Rapper,21,5,12,6.333333333333333,7.666666666666667,6.666666666666667,7.666666666666667,8.666666666666666,9.333333333333334,7.5,8.666666666666666,,,,8,7.0,62.5
136,TV Personality,46,10,12,4.666666666666667,5.666666666666667,5.0,,,,,,,,,3,2.0,15.333333333333334
137,TV Personality,25,6,12,6.0,6.333333333333333,7.666666666666667,6.0,7.333333333333333,8.333333333333334,7.625,,,,,7,6.0,49.29166666666667
138,Actor/Actress,33,11,13,5.0,7.0,,,,,,,,,,2,2.0,12.0
139,Actor/Actress,40,6,13,6.0,6.0,8.0,7.666666666666667,8.333333333333334,7.666666666666667,7.833333333333333,,,,,7,7.0,51.5
140,Actor/Actress,42,3,13,6.666666666666667,7.666666666666667,9.0,9.666666666666666,8.0,9.666666666666666,8.833333333333334,8.666666666666666,11.166633333333332,9.3333,,10,10.0,88.66659999999999
141,Actor/Actress,28,1,13,7.333333333333333,7.333333333333333,8.666666666666666,8.666666666666666,9.333333333333334,9.666666666666666,8.0,10.0,9.333333333333334,9.388833333333332,,10,12.0,87.72216666666667
142,Athlete,31,12,13,4.666666666666667,,,,,,,,,,,1,1.0,4.666666666666667
143,Athlete,30,4,13,7.0,6.333333333333333,8.0,8.0,8.0,6.666666666666667,8.333333333333334,8.666666666666666,8.1666,,,9,9.0,69.1666
144,Singer/Rapper,43,9,13,7.333333333333333,7.0,8.666666666666666,7.0,,,,,,,,4,4.0,30.0
145,TV Personality,24,10,13,6.333333333333333,7.333333333333333,8.0,,,,,,,,,3,3.0,21.666666666666664
146,TV Personality,41,8,13,5.666666666666667,6.0,7.666666666666667,6.666666666666667,6.333333333333333,,,,,,,5,5.0,32.333333333333336
147,TV Personality,42,7,13,5.666666666666667,5.666666666666667,6.0,7.0,7.0,6.333333333333333,,,,,,6,6.0,37.66666666666667
148,TV Personality,51,5,13,5.333333333333333,7.0,7.0,7.0,7.333333333333333,8.0,7.333333333333333,7.333333333333333,,,,8,8.0,56.33333333333333
149,TV Personality,24,2,13,5.333333333333333,7.0,8.0,8.0,8.333333333333334,7.333333333333333,8.5,8.5,10.833266666666667,9.4444,,10,11.0,81.27766666666668
150,Actor/Actress,31,3,14,8.0,8.333333333333334,9.333333333333334,7.333333333333333,9.666666666666666,12.0,8.833333333333334,9.5,9.666666666666666,9.888866666666667,,10,10.0,92.55553333333334
151,Actor/Actress,52,11,14,7.666666666666667,7.0,8.0,,,,,,,,,3,2.0,22.666666666666668
152,Actor/Actress,44,10,14,7.666666666666667,7.666666666666667,8.0,7.0,,,,,,,,4,3.0,30.333333333333336
153,Actor/Actress,35,7,14,8.666666666666666,7.333333333333333,8.333333333333334,7.333333333333333,8.0,12.333266666666667,8.5,,,,,7,6.0,60.49993333333333
154,Actor/Actress,20,6,14,7.666666666666667,8.666666666666666,8.333333333333334,8.666666666666666,8.666666666666666,9.333266666666667,8.666666666666666,9.333333333333334,,,,8,7.0,69.33326666666666
155,Actor/Actress,47,5,14,6.666666666666667,6.666666666666667,8.0,7.333333333333333,7.0,10.0,7.833333333333333,8.5,,,,8,8.0,61.99999999999999
156,Athlete,55,12,14,6.666666666666667,5.666666666666667,,,,,,,,,,2,1.0,12.333333333333334
157,Athlete,37,1,14,7.0,8.0,8.666666666666666,9.0,9.0,11.3333,8.833333333333334,9.166666666666666,9.5,9.888866666666667,,10,12.0,90.38883333333334
158,Singer/Rapper,35,9,14,6.666666666666667,7.0,8.0,7.666666666666667,6.333333333333333,,,,,,,5,4.0,35.66666666666667
159,Singer/Rapper,67,8,14,7.666666666666667,6.333333333333333,8.0,6.666666666666667,7.333333333333333,8.0,,,,,,6,5.0,44.0
160,Singer/Rapper,31,2,14,8.666666666666666,8.666666666666666,9.666666666666666,8.0,9.666666666666666,12.999966666666666,9.0,9.166666666666666,9.333333333333334,10.0,,10,11.0,95.16663333333332
161,TV Personality,33,4,14,7.0,8.333333333333334,9.0,8.666666666666666,9.0,9.999966666666666,9.5,8.833333333333334,9.833333333333334,,,9,9.0,80.16663333333334
162,Actor/Actress,36,6,15,8.0,8.5,8.5,9.875,9.416666666666666,9.166666666666666,11.1666,9.759233333333333,,,,8,8.0,74.38416666666666
163,Actor/Actress,28,8,15,7.5,8.666666666666666,8.5,8.875,9.75,10.0,,,,,,6,6.0,53.291666666666664
164,Actor/Actress,61,7,15,6.333333333333333,7.0,8.0,7.5,8.75,9.166666666666666,9.3333,8.5,,,,8,7.0,64.5833
165,Actor/Actress,36,3,15,7.166666666666667,7.333333333333333,9.0,9.375,8.583333333333334,9.0,12.0,9.444433333333334,9.036999999999999,9.703633333333334,,10,11.0,90.64340000000001
166,Athlete,30,5,15,7.333333333333333,8.166666666666666,8.5,8.625,9.416666666666666,10.0,11.0,9.759233333333333,9.537,,,9,9.0,82.3379
167,Athlete,43,4,15,8.166666666666666,7.5,8.333333333333334,9.0,9.333333333333334,8.833333333333334,11.499966666666666,9.685133333333333,9.0,,,9,10.0,81.35176666666666
168,Athlete,20,2,15,7.333333333333333,8.333333333333334,8.833333333333334,9.875,9.416666666666666,9.333333333333334,12.6666,9.277766666666666,9.833333333333334,9.648100000000001,,10,12.0,94.5508
169,Model,45,13,15,5.666666666666667,,,,,,,,,,,1,1.0,5.666666666666667
170,Racing Driver,37,10,15,7.166666666666667,7.666666666666667,8.5,,,,,,,,,3,4.0,23.333333333333336
171,Singer/Rapper,35,12,15,6.833333333333333,7.5,,,,,,,,,,2,2.0,14.333333333333332
172,Singer/Rapper,36,11,15,7.166666666666667,7.5,8.0,,,,,,,,,3,3.0,22.666666666666668
173,TV Personality,21,9,15,6.5,6.0,7.5,8.0,,,,,,,,4,5.0,28.0
174,TV Personality,29,1,15,7.0,7.833333333333333,9.0,9.25,9.416666666666666,9.833333333333334,12.999966666666666,10.0,9.592566666666666,9.7777,,10,13.0,94.70356666666666
175,Actor/Actress,41,5,16,6.666666666666667,6.666666666666667,7.0,7.666666666666667,7.0,7.666666666666667,8.333333333333334,8.0,8.5,,,9,8.0,67.5
176,Actor/Actress,16,2,16,8.0,8.666666666666666,8.6666,8.666666666666666,9.666666666666666,8.5,10.0,9.666666666666666,9.166666666666666,10.0,,10,11.0,90.99993333333333
177,Athlete,56,12,16,7.0,5.0,,,,,,,,,,2,1.0,12.0
178,Athlete,26,8,16,6.0,6.0,7.666666666666667,6.0,7.0,6.666666666666667,,,,,,6,5.0,39.333333333333336
179,Athlete,18,4,16,7.0,8.0,7.666666666666667,9.0,8.333333333333334,8.666666666666666,10.666666666666666,9.333333333333334,9.833333333333334,9.666666666666666,,10,9.0,88.16666666666667
180,Athlete,28,3,16,6.666666666666667,7.666666666666667,8.6666,8.0,8.666666666666666,7.5,9.0,8.666666666666666,9.833333333333334,9.3333,,10,10.0,83.9999
181,Comedian,50,9,16,4.0,5.333333333333333,5.333333333333333,7.0,6.0,,,,,,,5,4.0,27.666666666666664
182,Comedian,47,7,16,5.666666666666667,6.666666666666667,6.0,7.0,6.0,7.166666666666667,5.666666666666667,,,,,7,6.0,44.16666666666667
183,Singer/Rapper,48,11,16,6.0,6.0,5.0,,,,,,,,,3,2.0,17.0
184,Singer/Rapper,26,1,16,7.0,8.666666666666666,8.333333333333334,8.666666666666666,9.0,9.0,9.666666666666666,9.166666666666666,9.666666666666666,10.0,,10,12.0,89.16666666666667
185,TV Personality,52,10,16,6.0,6.0,7.0,6.0,,,,,,,,4,3.0,25.0
186,TV Personality,29,6,16,6.333333333333333,6.666666666666667,7.0,6.666666666666667,8.0,7.666666666666667,8.0,7.0,,,,8,7.0,57.333333333333336
187,Actor/Actress,74,10,17,7.0,6.333333333333333,5.333333333333333,6.0,,,,,,,,4,3.0,24.666666666666664
188,Actor/Actress,28,7,17,7.333333333333333,7.666666666666667,9.0,7.0,9.0,10.333333333333334,9.5,9.0,,,,8,6.0,68.83333333333334
189,Actor/Actress,39,6,17,8.0,8.333333333333334,8.333333333333334,9.0,8.666666666666666,10.6666,9.0,8.333333333333334,9.333333333333334,,,9,7.0,79.6666
190,Actor/Actress,43,5,17,7.0,8.0,8.0,8.0,7.333333333333333,9.3333,8.833333333333334,9.333333333333334,9.0,8.125,,10,8.0,82.95830000000001
191,Actor/Actress,24,2,17,8.0,8.666666666666666,8.666666666666666,9.0,9.333333333333334,8.999966666666666,9.833333333333334,10.0,9.666666666666666,9.375,9.8888,11,11.0,101.43043333333334
